                                                                                                                                                                                                                                                                
                        1                         2                         3                         4                         5                         6                         7                         8
                        E                         H                         W                       eta                         l                      n_pg                 Re(omega)                 Im(omega)
  0.1000000000000000E+001   0.6556851210879764E-004   0.1019756517617555E-001   0.7626462976193232E-003                         0                        12   0.1145150750851587E-001  -0.1440572457429587E+000
                        1                         2                         3                         4                         5                         6                         7                         8                         9                        10
                  alpha_0                   alpha_1                     dE_dx                     dW_dx                       rho                         x                  Re(xi_h)                  Im(xi_h)                  Re(xi_r)                  Im(xi_r)
  0.1000000000001082E+001  -0.1797693134862316E+309   0.0000000000000000E+000  -0.0000000000000000E+000   0.1045385509710093E+004   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000
  0.1000058822460534E+001  -0.8860198508059236E+001   0.1437089567571531E-018  -0.6695155607380971E-006   0.1045326908231449E+004   0.1606292333592702E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.2343720398484136E-010   0.9806060653565859E-009
  0.1000109668194131E+001  -0.8859506795964045E+001   0.1983831634524225E-018  -0.4413401082032064E-006   0.1045288668193035E+004   0.2023814793648023E-005   0.0000000000000000E+000   0.0000000000000000E+000  -0.4780012852081632E-010   0.9134758225561173E-009
  0.1000180829731222E+001  -0.8858535315783982E+001   0.2620425170411957E-018   0.1928087733860351E-006   0.1045229146354774E+004   0.2549875114331648E-005   0.0000000000000000E+000   0.0000000000000000E+000  -0.1674367942008148E-009   0.8174557650523491E-009
  0.1000290140945434E+001  -0.8857041627656187E+001   0.2481844340806426E-018   0.1139447322715569E-005   0.1045134861963135E+004   0.3212698922131014E-005   0.0000000000000000E+000   0.0000000000000000E+000  -0.2564816948121264E-009   0.5913249927675618E-009
  0.1000462132641688E+001  -0.8854691329977710E+001   0.9060127123108356E-019   0.1479825549276090E-005   0.1044985197936232E+004   0.4047862871651010E-005   0.0000000000000000E+000   0.0000000000000000E+000  -0.2167699619640082E-009   0.2203633732949233E-009
  0.1000734413366005E+001  -0.8850971845172516E+001   0.1322142278817309E-019  -0.3139730229078752E-006   0.1044747629069485E+004   0.5100219849931469E-005   0.0000000000000000E+000   0.0000000000000000E+000  -0.4622221608203109E-010  -0.8153860822455602E-010
  0.1001167498765943E+001  -0.8845060074728639E+001   0.1103064216192623E-020  -0.2082065209078895E-005   0.1044370123984200E+004   0.6426339159328674E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.1815411930882674E-010   0.1149995578250918E-010
  0.1001836213579958E+001  -0.8835936144616028E+001   0.1630499939247582E-019   0.2367240153468416E-005   0.1043777459409188E+004   0.8097610150263124E-005   0.0000000000000000E+000   0.0000000000000000E+000  -0.3041815726265666E-010   0.5810826969666456E-010
  0.1002562761859242E+001  -0.8826032405374679E+001   0.2133527419038338E-020  -0.3266791327735477E-005   0.1043126276134086E+004   0.9639739478629828E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.1928066113272763E-010   0.5070379109985906E-011
  0.1003217855813638E+001  -0.8817125079943738E+001   0.7931922651803746E-021   0.3748727630053833E-005   0.1042556546208905E+004   0.1080304305028885E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.7115999210539672E-011   0.8190245462381893E-011
  0.1004402257144443E+001  -0.8801059506486631E+001   0.5874047191446725E-020  -0.9741169597585522E-006   0.1041541918525143E+004   0.1258103745407228E-004   0.0000000000000000E+000   0.0000000000000000E+000  -0.2528578647527720E-010  -0.2007733841548194E-011
  0.1006395018908609E+001  -0.8774108378131974E+001   0.3453328962396998E-020   0.1116994040168130E-006   0.1039824399944091E+004   0.1511680938651437E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.3025133176577675E-011  -0.1591470579365188E-010
  0.1009671152627239E+001  -0.8730026880290817E+001   0.1661267612290384E-019  -0.5786546978105076E-008   0.1036993182374214E+004   0.1855392811519953E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1138689385311017E-010  -0.2665825031069063E-010
  0.1015008460777264E+001  -0.8658833012640864E+001   0.5988329194182365E-019   0.1506245823693420E-008   0.1032397187852716E+004   0.2306711072212440E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.2158466142926528E-010  -0.3876292852988040E-010
  0.1023060070693298E+001  -0.8552669444218377E+001   0.1779979039675199E-018   0.1824171897897168E-008   0.1025212939851865E+004   0.2889147470302178E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.3193138100928410E-010  -0.5230969535708540E-010
  0.1028826268112405E+001  -0.8477673176112441E+001   0.2987382691446235E-018   0.2160582903776956E-008   0.1020134452982540E+004   0.3248413501037182E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.3753875660992333E-010  -0.6001737074684579E-010
  0.1034401592626999E+001  -0.8406087716971363E+001   0.4332443945033380E-018   0.2413181512222603E-008   0.1015435726185882E+004   0.3543354301394372E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.4191872528683333E-010  -0.6617485967307491E-010
  0.1045318608071620E+001  -0.8267978547483599E+001   0.7789012212375980E-018   0.2810632953410839E-008   0.1006034372730126E+004   0.4076930305722691E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.4957832605452598E-010  -0.7715687337402252E-010
  0.1050224394426101E+001  -0.8206831874077764E+001   0.9681492764549253E-018   0.2949427490995367E-008   0.1001820918934230E+004   0.4299480243476383E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.5267023520123023E-010  -0.8164502763334866E-010
  0.1055100566222094E+001  -0.8146696926314462E+001   0.1167015244359144E-017   0.3056816134974722E-008   0.9977461894633370E+003   0.4501906064748250E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.5545481231116649E-010  -0.8570866771461006E-010
  0.1063654427339078E+001  -0.8042530893392650E+001   0.1560487380705955E-017   0.3193048590191788E-008   0.9906000906021678E+003   0.4838307068744878E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.6004540614284354E-010  -0.9244481157716707E-010
  0.1071570078485104E+001  -0.7947572363231286E+001   0.1980336144062074E-017   0.3274016187536480E-008   0.9839597783790256E+003   0.5135419978853038E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.6406231687875230E-010  -0.9836918810154499E-010
