                                                                                                                                                                                                                                                                
                        1                         2                         3                         4                         5                         6                         7                         8
                        E                         H                         W                       eta                         l                      n_pg                 Re(omega)                 Im(omega)
  0.1000000000000000E+001   0.7811048582126852E-028  -0.1355453770431547E-012  -0.1005911253317244E+000                         0                        37   0.1249883881176716E-013  -0.1780526682518514E+001
                        1                         2                         3                         4                         5                         6                         7                         8                         9                        10
                  alpha_0                   alpha_1                     dE_dx                     dW_dx                       rho                         x                  Re(xi_h)                  Im(xi_h)                  Re(xi_r)                  Im(xi_r)
  0.3923011453976442E+001   0.1796680390150825E+001   0.7337191926310028E-027   0.1044266715705484E-015   0.3691718121124179E-005   0.5000000000000000E-001   0.0000000000000000E+000   0.0000000000000000E+000   0.3788855007958785E-013   0.1307014341363605E-019
  0.3921863230377030E+001   0.1847969730175207E+001   0.9446059722751471E-011   0.2170105929549573E-015   0.3610584266253832E-005   0.5064392748802204E-001   0.0000000000000000E+000   0.0000000000000000E+000   0.4291770989916043E-005  -0.3928395411303502E-017
  0.3920525844446045E+001   0.1906199128871384E+001   0.8117885017987274E-010   0.1891076376652447E-015   0.3520357098579223E-005   0.5138981975388769E-001   0.0000000000000000E+000   0.0000000000000000E+000   0.1255678073649370E-004  -0.9071014419741028E-017
  0.3919190320252969E+001   0.1961296955980086E+001   0.2810497872360098E-009   0.1130307904240941E-015   0.3434083848112780E-005   0.5213279064987281E-001   0.0000000000000000E+000   0.0000000000000000E+000   0.2331860291644554E-004  -0.1247115810219307E-016
  0.3917765139897989E+001   0.2015045653879705E+001   0.6597429258421014E-009  -0.5610140037640681E-017   0.3346320562130648E-005   0.5292176226980150E-001   0.0000000000000000E+000   0.0000000000000000E+000   0.3565304437817378E-004  -0.1316539409618850E-016
  0.3916354922055398E+001   0.2063698746830476E+001   0.1132833004445819E-008  -0.1819726853647088E-015   0.3262018959530740E-005   0.5370746722794626E-001   0.0000000000000000E+000   0.0000000000000000E+000   0.4662645006261401E-004  -0.9862012942055971E-017
  0.3914205068848236E+001   0.2127555086339457E+001   0.1647391299286856E-008  -0.3133528945569587E-015   0.3143842885083583E-005   0.5488039612828963E-001   0.0000000000000000E+000   0.0000000000000000E+000   0.5605031360226208E-004   0.6314650126169652E-018
  0.3913128408163508E+001   0.2155428367540990E+001   0.1696530217199655E-008  -0.3258212142637707E-015   0.3087792626904162E-005   0.5546388208716792E-001   0.0000000000000000E+000   0.0000000000000000E+000   0.5679025125018293E-004   0.6858629699656622E-017
  0.3911698539121125E+001   0.2188607356103236E+001   0.1509972592932189E-008  -0.2730501739783260E-015   0.3015740328712715E-005   0.5623883526986578E-001   0.0000000000000000E+000   0.0000000000000000E+000   0.5346610660710024E-004   0.1417706421461647E-016
