                                                                                                                                                                                                                                                                
                        1                         2                         3                         4                         5                         6                         7                         8
                        E                         H                         W                       eta                         l                      n_pg                 Re(omega)                 Im(omega)
  0.9999999999999997E+000   0.2236791909698153E-011  -0.2437195728790311E-004  -0.8525877276650795E-001                         0                        43   0.2115084825579416E-005  -0.1890784533736704E+001
                        1                         2                         3                         4                         5                         6                         7                         8                         9                        10
                  alpha_0                   alpha_1                     dE_dx                     dW_dx                       rho                         x                  Re(xi_h)                  Im(xi_h)                  Re(xi_r)                  Im(xi_r)
  0.1000000000185261E+001  -0.1797693134862316E+309   0.0000000000000000E+000  -0.0000000000000000E+000   0.1045385509710093E+004   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000
  0.1000058822644719E+001  -0.8860198505634397E+001   0.2130058887298625E-022  -0.4735188750919007E-012   0.1045326908231449E+004   0.1606292333592702E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.1194187330690904E-010   0.2729863091506480E-014
  0.1000109668378320E+001  -0.8859506793539408E+001   0.5684325780810601E-024  -0.4011194095929686E-012   0.1045288668193035E+004   0.2023814793648023E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.1548376601358437E-011   0.3803530676391702E-014
  0.1000180829915417E+001  -0.8858535313359621E+001   0.7187418981939562E-024   0.9459634398919700E-012   0.1045229146354774E+004   0.2549875114331648E-005   0.0000000000000000E+000   0.0000000000000000E+000  -0.1381939084676350E-011   0.1429087026923108E-014
  0.1000290141129639E+001  -0.8857041625232233E+001   0.5969272157718713E-023  -0.5049500978209558E-012   0.1045134861963135E+004   0.3212698922131014E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.3161053247721716E-011   0.2091331849969529E-015
  0.1000462132825908E+001  -0.8854691327554400E+001   0.8275898491164676E-025  -0.3916961605501955E-012   0.1044985197936232E+004   0.4047862871651010E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.2954272401434187E-012   0.1185470153936418E-014
  0.1000734413550251E+001  -0.8850971842750225E+001   0.2896118433491084E-024   0.1163304776166164E-011   0.1044747629069485E+004   0.5100219849931469E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.4386729751870173E-012   0.3903823721820838E-016
  0.1001167498950229E+001  -0.8845060072307959E+001   0.4834330618522099E-023  -0.1584009741219829E-011   0.1044370123984200E+004   0.6426339159328674E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.1422671458223748E-011   0.3137405806843831E-015
  0.1001836213764307E+001  -0.8835936142197816E+001   0.3633153853769686E-024   0.1673634544164853E-011   0.1043777459409188E+004   0.8097610150263124E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.3096052647291194E-012   0.1537126255720425E-015
  0.1002562762043662E+001  -0.8826032402959129E+001   0.1183728310791887E-022  -0.1440342029643903E-011   0.1043126276134086E+004   0.9639739478629828E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.1484976547990596E-011   0.3504152609718682E-017
  0.1003217855998118E+001  -0.8817125077530621E+001   0.4527219015084698E-023   0.6391084220073142E-012   0.1042556546208905E+004   0.1080304305028885E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.8196852908357187E-012   0.1880933783040489E-015
  0.1004402257329030E+001  -0.8801059504077930E+001   0.1767074773374020E-022   0.1288298891492076E-012   0.1041541918525143E+004   0.1258103745407228E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1391233248705541E-011  -0.6751943334431312E-016
  0.1006395019093378E+001  -0.8774108375730645E+001   0.2765813854589396E-022  -0.7671804245640211E-012   0.1039824399944091E+004   0.1511680938651437E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1449768472032406E-011   0.1068060064183358E-015
  0.1009671152812310E+001  -0.8730026877901487E+001   0.6467932452693636E-022   0.1300872005471227E-011   0.1036993182374214E+004   0.1855392811519953E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.1808782029658362E-011  -0.6337813423541894E-016
  0.1015008460962826E+001  -0.8658833010270854E+001   0.1550618512108949E-021  -0.1759274250436394E-011   0.1032397187852716E+004   0.2306711072212440E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.2257684195309817E-011   0.3366761526633880E-016
  0.1023060070879657E+001  -0.8552669441876361E+001   0.3640370317067088E-021   0.2160612056362911E-011   0.1025212939851865E+004   0.2889147470302178E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.2771554033091814E-011  -0.6581500374837363E-016
  0.1028826268299329E+001  -0.8477673173790190E+001   0.6013666760565733E-021  -0.2874997987088793E-011   0.1020134452982540E+004   0.3248413501037182E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.3176120581590068E-011  -0.8818346331997717E-017
  0.1034401592814435E+001  -0.8406087714668333E+001   0.8133259645842254E-021   0.3679584545845743E-011   0.1015435726185882E+004   0.3543354301394372E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.3394054691854029E-011  -0.6339251043262278E-016
  0.1045318608260111E+001  -0.8267978545216829E+001   0.1472030020487828E-020  -0.4045440186200168E-011   0.1006034372730126E+004   0.4076930305722691E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.3986997412014504E-011  -0.3730383538721447E-016
  0.1050224394615072E+001  -0.8206831871826916E+001   0.1750020739663822E-020   0.4803442096396229E-011   0.1001820918934230E+004   0.4299480243476383E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.4130835582892314E-011  -0.6407940678010490E-016
  0.1055100566411523E+001  -0.8146696924079443E+001   0.2171073037438386E-020  -0.5101140087957606E-011   0.9977461894633370E+003   0.4501906064748250E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.4403095106775394E-011  -0.6007073152121669E-016
  0.1063654427529319E+001  -0.8042530891184835E+001   0.2795954945848437E-020   0.4940878255909369E-011   0.9906000906021678E+003   0.4838307068744878E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.4666054338588328E-011  -0.6100178236735640E-016
  0.1071570078676112E+001  -0.7947572361047966E+001   0.3615119839645889E-020  -0.4484529995798271E-011   0.9839597783790256E+003   0.5135419978853038E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.5015613089582222E-011  -0.7831704624875356E-016
  0.1079116019277619E+001  -0.7858360312037410E+001   0.4331113665425687E-020   0.3651536084135810E-011   0.9776732759477769E+003   0.5403303003773605E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.5234448285413302E-011  -0.6337343494761205E-016
  0.1086354136354981E+001  -0.7773962616477689E+001   0.5207561777466963E-020  -0.2406741561064088E-011   0.9716784807161227E+003   0.5648438582253672E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.5507504102330175E-011  -0.9173811988706662E-016
  0.1093707946814916E+001  -0.7689365486580465E+001   0.6083692121333070E-020   0.8669155923263108E-012   0.9656164293443870E+003   0.5887514319338631E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.5728971098971081E-011  -0.6809223883686041E-016
  0.1100801581431902E+001  -0.7608834704271592E+001   0.7021285807050061E-020   0.9245435622206372E-012   0.9597930015767465E+003   0.6109921236852398E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.5948551718210827E-011  -0.9935985872019878E-016
  0.1107678132740290E+001  -0.7531758695766417E+001   0.8036317448049102E-020  -0.2776186158561940E-011   0.9541739021517261E+003   0.6318416096377179E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.6172113011210842E-011  -0.7732704249138669E-016
  0.1114363648937349E+001  -0.7457740900572249E+001   0.8959707051831032E-020   0.4418004468352245E-011   0.9487347874335153E+003   0.6515092670654620E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.6338422902437130E-011  -0.1004089331050765E-015
  0.1120879797448968E+001  -0.7386452650602618E+001   0.1010599557867100E-019  -0.5535964651393001E-011   0.9434558405572047E+003   0.6701582982087100E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.6562641505266535E-011  -0.9106493079650329E-016
  0.1127244383422992E+001  -0.7317622599983653E+001   0.1103495231784606E-019   0.5833722577357497E-011   0.9383208013694523E+003   0.6879186699388285E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.6698842690134789E-011  -0.9676944271985640E-016
  0.1133472709723321E+001  -0.7251018746044871E+001   0.1224889351840061E-019  -0.5114166585393041E-011   0.9333159708070586E+003   0.7048957638250190E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.6906157801051587E-011  -0.1060182934810549E-015
  0.1139572469590756E+001  -0.7186496887914180E+001   0.1326182111099344E-019   0.3364633848639811E-011   0.9284314792504447E+003   0.7211763495905441E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.7042267138488513E-011  -0.9381694992796704E-016
  0.1145187332956929E+001  -0.7127714878981996E+001   0.1436734468313164E-019  -0.6500217593694233E-012   0.9239523254786296E+003   0.7358686005923463E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.7200962000981928E-011  -0.1159614364500418E-015
  0.1150714123922637E+001  -0.7070419501619651E+001   0.1548171873216884E-019  -0.2352981641113143E-011   0.9195607631277468E+003   0.7500631837695111E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.7351040893570337E-011  -0.9770663149109922E-016
  0.1156151213341330E+001  -0.7014588675219263E+001   0.1648188101925348E-019   0.4848451898780135E-011   0.9152533633652127E+003   0.7638036177151317E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.7465833955553226E-011  -0.1157095863277828E-015
  0.1161553013796163E+001  -0.6959662713831963E+001   0.1775374147193966E-019  -0.6051379806931935E-011   0.9110091396953884E+003   0.7771276649379415E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.7633408887746675E-011  -0.1106976101700158E-015
  0.1172052744148923E+001  -0.6854312359971905E+001   0.1988169287816426E-019   0.5921502307197809E-011   0.9027579617575510E+003   0.8026557458350914E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.7856679097969364E-011  -0.1136906911051035E-015
  0.1177166614809818E+001  -0.6803668069485073E+001   0.2120192744437405E-019  -0.4279850159870248E-011   0.8987442319359699E+003   0.8149134026476039E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.8009132352609167E-011  -0.1241960539668143E-015
  0.1182274837973682E+001  -0.6753551151687335E+001   0.2232239630085229E-019   0.1064260124338983E-011   0.8947735799751508E+003   0.8268652552507622E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.8117202955953793E-011  -0.1102712627899363E-015
  0.1189330711789597E+001  -0.6685039127634198E+001   0.2399621622793982E-019   0.1688064298373868E-011   0.8893076029271750E+003   0.8431349777162335E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.8278956322841699E-011  -0.1305876287941353E-015
  0.1196257768262019E+001  -0.6618562969675201E+001   0.2582607520154838E-019  -0.4194571812810343E-011   0.8839546066138530E+003   0.8588936844018388E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.8456723512554908E-011  -0.1178530530655038E-015
  0.1203089651737569E+001  -0.6553758794141301E+001   0.2741346942789691E-019   0.5846340264019270E-011   0.8786993800906412E+003   0.8741842994567342E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.8585906534842339E-011  -0.1296319489843529E-015
  0.1209830625756237E+001  -0.6490543240706948E+001   0.2939631183846759E-019  -0.6151108271398687E-011   0.8735365328319100E+003   0.8890443084524502E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.8768186884215991E-011  -0.1303949211854298E-015
  0.1216486616647669E+001  -0.6428820583833685E+001   0.3102934501194912E-019   0.4901238529655477E-011   0.8684605743081315E+003   0.9035066631336608E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.8890111499230581E-011  -0.1261304854290127E-015
  0.1223062945564922E+001  -0.6368504602729013E+001   0.3297953625609362E-019  -0.2296386509643959E-011   0.8634665697849961E+003   0.9176005029111966E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.9050512708552980E-011  -0.1411517770060049E-015
  0.1229562845195574E+001  -0.6309530530602716E+001   0.3483927742015014E-019  -0.1035450081304514E-011   0.8585505488530054E+003   0.9313517362996079E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.9191051996829114E-011  -0.1277450242920586E-015
  0.1236007880474830E+001  -0.6251683035577739E+001   0.3662271431157870E-019   0.4156815927032563E-011   0.8537031477597001E+003   0.9447835140008571E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.9315728737556528E-011  -0.1437197272450422E-015
  0.1244339430583955E+001  -0.6177803107606248E+001   0.3932642751451880E-019  -0.5781948108414442E-011   0.8474661566838341E+003   0.9619069235943159E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.9516457943482893E-011  -0.1373768071817878E-015
  0.1252542415899133E+001  -0.6106023491869549E+001   0.4164787795508040E-019   0.6314893217819385E-011   0.8413482075224703E+003   0.9785603188387139E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.9661582539898481E-011  -0.1427988023390671E-015
  0.1260651643507716E+001  -0.6035996956104382E+001   0.4446527367507699E-019  -0.5538280995869799E-011   0.8353341156556621E+003   0.9947800278699291E-004   0.0000000000000000E+000   0.0000000000000000E+000   0.9855544774276650E-011  -0.1492639386467619E-015
  0.1268643350864178E+001  -0.5967858405184320E+001   0.4693066645318235E-019   0.3510592675592225E-011   0.8294270792113421E+003   0.1010598165623695E-003   0.0000000000000000E+000   0.0000000000000000E+000   0.1000202803073167E-010  -0.1420664330327665E-015
  0.1274138921664340E+001  -0.5921506299757904E+001   0.4881812442640652E-019   0.6335658240434395E-012   0.8253844407180268E+003   0.1021349687530974E-003   0.0000000000000000E+000   0.0000000000000000E+000   0.1011847965830373E-010  -0.1570035217207937E-015
  0.1279609673595918E+001  -0.5875772413752428E+001   0.5080959618732159E-019  -0.4553728183476425E-011   0.8213807770653117E+003   0.1031930440892898E-003   0.0000000000000000E+000   0.0000000000000000E+000   0.1024182846070772E-010  -0.1466651646435252E-015
  0.1285039024964777E+001  -0.5830772845056829E+001   0.5245589768905178E-019   0.6337240788330610E-011   0.8174200689671343E+003   0.1042348440465179E-003   0.0000000000000000E+000   0.0000000000000000E+000   0.1032735033798830E-010  -0.1534854984450458E-015
  0.1290448371345721E+001  -0.5786330147992278E+001   0.5459117589334985E-019  -0.4991677475836733E-011   0.8134948974894336E+003   0.1052611130718523E-003   0.0000000000000000E+000   0.0000000000000000E+000   0.1045786826954685E-010  -0.1592230299281876E-015
  0.1298795473637805E+001  -0.5718491524837417E+001   0.5743168638962291E-019   0.2537261681689364E-011   0.8074674942750705E+003   0.1068273782030889E-003   0.0000000000000000E+000   0.0000000000000000E+000   0.1060859836488409E-010  -0.1509655937477394E-015
  0.1306987044859202E+001  -0.5652727603566576E+001   0.6048526886574572E-019   0.5912054139445519E-012   0.8015526364216623E+003   0.1083601514034931E-003   0.0000000000000000E+000   0.0000000000000000E+000   0.1077249988975651E-010  -0.1665527113708931E-015
  0.1311078421497687E+001  -0.5620206359890113E+001   0.6216527459369976E-019  -0.5585015900592788E-011   0.7986206463202176E+003   0.1091146454768146E-003   0.0000000000000000E+000   0.0000000000000000E+000   0.1086545537908390E-010  -0.1577049137321555E-015
  0.1319202669581544E+001  -0.5556232456243544E+001   0.6497514976135634E-019   0.6406248138073508E-011   0.7928195340141581E+003   0.1106011428469840E-003   0.0000000000000000E+000   0.0000000000000000E+000   0.1099902467127588E-010  -0.1632893962640239E-015
  0.1323237829944035E+001  -0.5524753105197653E+001   0.6675470762578106E-019  -0.3602088894237691E-011   0.7899496043908794E+003   0.1113335839600935E-003   0.0000000000000000E+000   0.0000000000000000E+000   0.1109538518073007E-010  -0.1700689189852571E-015
  0.1331672019237140E+001  -0.5459604671308268E+001   0.6996566128588008E-019   0.5232939346061032E-012   0.7839925831118844E+003   0.1128444003710428E-003   0.0000000000000000E+000   0.0000000000000000E+000   0.1124951498737668E-010  -0.1604033120247202E-015
  0.1339989151741433E+001  -0.5396146814085311E+001   0.7322296838358962E-019   0.2759174406411022E-011   0.7781311133550253E+003   0.1143267872426980E-003   0.0000000000000000E+000   0.0000000000000000E+000   0.1140188333209612E-010  -0.1752139347702693E-015
  0.1348247389969930E+001  -0.5333926598742307E+001   0.7680156822329034E-019  -0.5356878123410705E-011   0.7723456115097590E+003   0.1157824159531313E-003   0.0000000000000000E+000   0.0000000000000000E+000   0.1157347857913676E-010  -0.1680924661434197E-015
  0.1356420640967117E+001  -0.5273088392250012E+001   0.7991201123879409E-019   0.6488689346587282E-011   0.7666413924589418E+003   0.1172128125128520E-003   0.0000000000000000E+000   0.0000000000000000E+000   0.1170474964388072E-010  -0.1743629239610110E-015
  0.1362057979841329E+001  -0.5231558169161438E+001   0.8257332610058296E-019  -0.4969507718498246E-011   0.7627261387229340E+003   0.1181909724214546E-003   0.0000000000000000E+000   0.0000000000000000E+000   0.1182983223344754E-010  -0.1797494029074717E-015
