                                                                                                                                                                                                                                                                
                        1                         2                         3                         4                         5                         6                         7                         8
                        E                         H                         W                       eta                         l                      n_pg                 Re(omega)                 Im(omega)
  0.1000000000000000E+001   0.1564562340897020E-028   0.5683505462890181E-013   0.1177357047855032E+000                         0                        84  -0.5593857954751836E-014  -0.1642341752133252E+001
                        1                         2                         3                         4                         5                         6                         7                         8                         9                        10
                  alpha_0                   alpha_1                     dE_dx                     dW_dx                       rho                         x                  Re(xi_h)                  Im(xi_h)                  Re(xi_r)                  Im(xi_r)
  0.3922830532383588E+001   0.1796503199851950E+001   0.1761069865981182E-027  -0.1598852782082582E-016   0.3691718121124179E-005   0.5000000000000000E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.1856228084325085E-013   0.4722685524581357E-020
  0.3921675417861932E+001   0.1847785733686902E+001   0.2499620391165025E-011  -0.2654975443851073E-016   0.3610584266253832E-005   0.5064392748802204E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.2207741522158685E-005  -0.1743223820939402E-017
  0.3920329840357933E+001   0.1906007035917198E+001   0.2817449652202434E-010  -0.1564944771307405E-016   0.3520357098579223E-005   0.5138981975388769E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.7397499507443731E-005  -0.3902892202194420E-017
  0.3918985930643736E+001   0.1961096568482791E+001   0.1110481322366980E-009  -0.1851736920737677E-018   0.3434083848112780E-005   0.5213279064987281E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.1465772352740443E-004  -0.5305692086857462E-017
  0.3917551595650647E+001   0.2014836203820670E+001   0.2810851269994287E-009   0.1781667420479020E-016   0.3346320562130648E-005   0.5292176226980150E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.2327170386938437E-004  -0.5623443301732112E-017
  0.3916132002194689E+001   0.2063480007604056E+001   0.5029454479597557E-009   0.3924640632130838E-016   0.3262018959530740E-005   0.5370746722794626E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.3106775313442819E-004  -0.4401498284504622E-017
  0.3913967665214903E+001   0.2127321981912558E+001   0.7407423743510432E-009   0.4725826591169125E-016   0.3143842885083583E-005   0.5488039612828963E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.3758488774744786E-004  -0.4555933356759292E-018
  0.3912883579390339E+001   0.2155187891859647E+001   0.7506245351075354E-009   0.4237654668492856E-016   0.3087792626904162E-005   0.5546388208716792E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.3777499089189308E-004   0.1900650759863150E-017
  0.3911443619773954E+001   0.2188356855733004E+001   0.6266416849640416E-009   0.2681266611955998E-016   0.3015740328712715E-005   0.5623883526986578E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.3444321386886174E-004   0.4688228022376503E-017
  0.3910726655418399E+001   0.2203451895100512E+001   0.5216877477408905E-009   0.1574560782192903E-016   0.2980866760589328E-005   0.5662453708937720E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.3139472541726356E-004   0.5765627013295054E-017
