                                                                                                                                                                                                                                                                
                        1                         2                         3                         4                         5                         6                         7                         8
                        E                         H                         W                       eta                         l                      n_pg                 Re(omega)                 Im(omega)
  0.1000000000000000E+001   0.5999654836914504E-011   0.6260195455342643E-004   0.6419108418470425E-001                         0                       108  -0.3464001973704549E-005  -0.2781385274327233E+001
                        1                         2                         3                         4                         5                         6                         7                         8                         9                        10
                  alpha_0                   alpha_1                     dE_dx                     dW_dx                       rho                         x                  Re(xi_h)                  Im(xi_h)                  Re(xi_r)                  Im(xi_r)
  0.1000000000400887E+001  -0.1797693134862316E+309   0.0000000000000000E+000   0.0000000000000000E+000   0.1045385509710093E+004   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000   0.0000000000000000E+000
  0.1000058822860353E+001  -0.8860198502795534E+001   0.6771289743932134E-022  -0.6589330804543691E-011   0.1045326908231449E+004   0.1606292333592702E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.2129160152022747E-010  -0.9178076080008820E-013
  0.1000109668593958E+001  -0.8859506790700783E+001   0.2030439290835340E-022   0.5040083214850486E-011   0.1045288668193035E+004   0.2023814793648023E-005   0.0000000000000000E+000   0.0000000000000000E+000  -0.9253847712105417E-011  -0.6612128433760648E-013
  0.1000180830131062E+001  -0.8858535310521312E+001   0.3318946388152962E-022   0.3140105220949700E-011   0.1045229146354774E+004   0.2549875114331648E-005   0.0000000000000000E+000   0.0000000000000000E+000  -0.9390778292152106E-011  -0.2191182434271288E-013
  0.1000290141345296E+001  -0.8857041622394403E+001   0.2099738848582484E-022  -0.9540588241869140E-011   0.1045134861963135E+004   0.3212698922131014E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.5928567830783731E-011  -0.2535274608215725E-013
  0.1000462133041584E+001  -0.8854691324717326E+001   0.3582157054340535E-022   0.1093669287043598E-010   0.1044985197936232E+004   0.4047862871651010E-005   0.0000000000000000E+000   0.0000000000000000E+000  -0.6146353971630462E-011  -0.1444782618754931E-013
  0.1000734413765956E+001  -0.8850971839914338E+001   0.1526308747548383E-023  -0.8298468280644584E-011   0.1044747629069485E+004   0.5100219849931469E-005   0.0000000000000000E+000   0.0000000000000000E+000   0.1007041351760357E-011  -0.5558411161819754E-014
  0.1001167499165980E+001  -0.8845060069473966E+001   0.3397869493645658E-023   0.3589311317465428E-011   0.1044370123984200E+004   0.6426339159328674E-005   0.0000000000000000E+000   0.0000000000000000E+000  -0.1192694906678054E-011  -0.8269112911171188E-014
  0.1001836213980133E+001  -0.8835936139366712E+001   0.5554344961593599E-023   0.1735472880798006E-011   0.1043777459409188E+004   0.8097610150263124E-005   0.0000000000000000E+000   0.0000000000000000E+000  -0.1210550115934449E-011  -0.9949779442054108E-015
  0.1002562762259570E+001  -0.8826032400131140E+001   0.8194942826865066E-026  -0.8415854145898374E-011   0.1043126276134086E+004   0.9639739478629828E-005   0.0000000000000000E+000   0.0000000000000000E+000  -0.3884724957448071E-013  -0.4185535522162241E-014
  0.1003217856214097E+001  -0.8817125074705480E+001   0.2476432480990874E-022   0.1645974470928410E-010   0.1042556546208905E+004   0.1080304305028885E-004   0.0000000000000000E+000   0.0000000000000000E+000  -0.1917099283765691E-011  -0.8387753321674900E-015
  0.1004402257545134E+001  -0.8801059501257958E+001   0.1866816285097948E-026  -0.2029414918952704E-010   0.1041541918525143E+004   0.1258103745407228E-004   0.0000000000000000E+000   0.0000000000000000E+000  -0.1416414938374165E-013  -0.1963378368135900E-014
  0.1006395019309696E+001  -0.8774108372919301E+001   0.4612709634488478E-022   0.2204472903645426E-010   0.1039824399944091E+004   0.1511680938651437E-004   0.0000000000000000E+000   0.0000000000000000E+000  -0.1872255868087431E-011  -0.7659301220839966E-015
  0.1009671153028980E+001  -0.8730026875104194E+001   0.9764103110695795E-023  -0.2272660273107076E-010   0.1036993182374214E+004   0.1855392811519953E-004   0.0000000000000000E+000   0.0000000000000000E+000  -0.7027800501895218E-012  -0.7553238578665741E-015
  0.1015008461180073E+001  -0.8658833007496179E+001   0.1290258321989783E-021   0.2279745516925678E-010   0.1032397187852716E+004   0.2306711072212440E-004   0.0000000000000000E+000   0.0000000000000000E+000  -0.2059439481746467E-011  -0.4551668801671775E-015
  0.1023060071097836E+001  -0.8552669439134466E+001   0.1234154172133913E-021  -0.2246963728820516E-010   0.1025212939851865E+004   0.2889147470302178E-004   0.0000000000000000E+000   0.0000000000000000E+000  -0.1613746334104493E-011  -0.2864425414275039E-015
  0.1028826268518169E+001  -0.8477673171071428E+001   0.3769413557650098E-021   0.2167287098038335E-010   0.1020134452982540E+004   0.3248413501037182E-004   0.0000000000000000E+000   0.0000000000000000E+000  -0.2514572683709281E-011  -0.3199188829220459E-015
  0.1034401593033876E+001  -0.8406087711972074E+001   0.3334784577381822E-021  -0.1986837351677293E-010   0.1015435726185882E+004   0.3543354301394372E-004   0.0000000000000000E+000   0.0000000000000000E+000  -0.2173303648641712E-011  -0.1417325570348949E-015
  0.1045318608480787E+001  -0.8267978542563021E+001   0.8163029228130674E-021   0.1817170828729867E-010   0.1006034372730126E+004   0.4076930305722691E-004   0.0000000000000000E+000   0.0000000000000000E+000  -0.2969021168574493E-011  -0.2817741179692344E-015
  0.1050224394836307E+001  -0.8206831869191751E+001   0.7969136646277568E-021  -0.1349313854373669E-010   0.1001820918934230E+004   0.4299480243476383E-004   0.0000000000000000E+000   0.0000000000000000E+000  -0.2787545393553137E-011  -0.6911099380201993E-016
  0.1055100566633294E+001  -0.8146696921462809E+001   0.1104623429121316E-020   0.7039672083868823E-011   0.9977461894633370E+003   0.4501906064748250E-004   0.0000000000000000E+000   0.0000000000000000E+000  -0.3140710979476282E-011  -0.2903339834965252E-015
  0.1063654427752042E+001  -0.8042530888600053E+001   0.1361554843862556E-020  -0.2529330486343871E-011   0.9906000906021678E+003   0.4838307068744878E-004   0.0000000000000000E+000   0.0000000000000000E+000  -0.3256134061875564E-011  -0.4124332566282727E-016
  0.1071570078899734E+001  -0.7947572358491859E+001   0.1759758063568403E-020  -0.2948626104198066E-011   0.9839597783790256E+003   0.5135419978853038E-004   0.0000000000000000E+000   0.0000000000000000E+000  -0.3499364314138359E-011  -0.2598345326093480E-015
  0.1079116019502099E+001  -0.7858360309508109E+001   0.2182407561460027E-020   0.9162328850020860E-011   0.9776732759477769E+003   0.5403303003773605E-004   0.0000000000000000E+000   0.0000000000000000E+000  -0.3715686389041188E-011  -0.4266926152892942E-016
