                                                                                                                                                                                                                                                                
                        1                         2                         3                         4                         5                         6                         7                         8
                        E                         H                         W                       eta                         l                      n_pg                 Re(omega)                 Im(omega)
  0.9999999999999999E+000   0.1274539991920064E-040   0.1041453968753011E-018   0.1000775226672573E+000                         0                       114  -0.5048841435260299E-020  -0.3125554679117165E+001
                        1                         2                         3                         4                         5                         6                         7                         8                         9                        10
                  alpha_0                   alpha_1                     dE_dx                     dW_dx                       rho                         x                  Re(xi_h)                  Im(xi_h)                  Re(xi_r)                  Im(xi_r)
  0.3925535548314227E+001   0.1799150724589890E+001   0.1270011686726414E-027  -0.1138626932273111E-021   0.3691718121124179E-005   0.5000000000000000E-001   0.0000000000000000E+000   0.0000000000000000E+000   0.1576329143423215E-013   0.6426698012917384E-026
  0.3924483462149510E+001   0.1850534886617949E+001   0.5766577779836747E-010  -0.2004990754493656E-021   0.3610584266253832E-005   0.5064392748802204E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.1060401353490410E-004  -0.5098614507312199E-023
  0.3923260359443304E+001   0.1908877076587324E+001   0.8588649673742978E-009  -0.1133649514980872E-021   0.3520357098579223E-005   0.5138981975388769E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.4084315731718136E-004  -0.9881051729605763E-023
  0.3922041824306345E+001   0.1964090447034059E+001   0.3318290985252641E-008   0.1816260515237484E-022   0.3434083848112780E-005   0.5213279064987281E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.8012501618076172E-004  -0.9445097740461995E-023
  0.3920744363201750E+001   0.2017965378320218E+001   0.6942861489202735E-008   0.1582579029585721E-021   0.3346320562130648E-005   0.5292176226980150E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.1156587513170549E-003  -0.3140087515744909E-023
  0.3919464947505197E+001   0.2066747851894457E+001   0.8782027839302219E-008   0.2373229793180305E-021   0.3262018959530740E-005   0.5370746722794626E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.1298215557845131E-003   0.6931290740023684E-023
  0.3917517161988775E+001   0.2130804253289212E+001   0.5264667625457726E-008   0.1814557827169181E-021   0.3143842885083583E-005   0.5488039612828963E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.1001994048282591E-003   0.1985485889534124E-022
  0.3916544091777245E+001   0.2158780184161660E+001   0.2357961091816886E-008   0.8047007632727276E-022   0.3087792626904162E-005   0.5546388208716792E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.6695165357762121E-004   0.2255373103428880E-022
  0.3915254999522758E+001   0.2192098763871208E+001   0.1956231758608681E-009  -0.8351640591069596E-022   0.3015740328712715E-005   0.5623883526986578E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.1924439136146391E-004   0.1976347238306267E-022
  0.3914614590144033E+001   0.2207269766257339E+001   0.9379077621010725E-012  -0.1620989046256913E-021   0.2980866760589328E-005   0.5662453708937720E-001   0.0000000000000000E+000   0.0000000000000000E+000   0.1331163606023131E-005   0.1574788437632090E-022
  0.3913425395969288E+001   0.2233681862210361E+001   0.2716124078797029E-009  -0.2631622712064479E-021   0.2915903484537884E-005   0.5735475060071128E-001   0.0000000000000000E+000   0.0000000000000000E+000   0.2261237358764179E-004   0.5064361957942935E-023
  0.3911728141436866E+001   0.2266548928032147E+001   0.7084978040632339E-011  -0.2531104302706305E-021   0.2826901726242797E-005   0.5839888057093348E-001   0.0000000000000000E+000   0.0000000000000000E+000   0.3642811455660242E-005  -0.1053669067892266E-022
  0.3909258873252651E+001   0.2304169210988219E+001   0.4316716588086881E-008   0.9238447092056540E-023   0.2710652361051653E-005   0.5987372641525620E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.8956346460757185E-004  -0.1648133492782828E-022
  0.3907979193469855E+001   0.2319673494349704E+001   0.1074319035643440E-007   0.1824985258340665E-021   0.2654446850315382E-005   0.6063007879060343E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.1409998995156762E-003  -0.9187518000841424E-023
  0.3906803877674514E+001   0.2332416447196420E+001   0.1510611393873726E-007   0.2913375902112183E-021   0.2603242016983323E-005   0.6133585050794195E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.1668906595100779E-003   0.2805870310879446E-023
  0.3905651673116941E+001   0.2345100970690214E+001   0.1411674684921343E-007   0.3089881004952415E-021   0.2553371235116653E-005   0.6203905421594492E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.1610543581795169E-003   0.1605851720948942E-022
  0.3903333291441531E+001   0.2373070961297943E+001   0.2937855637600024E-008   0.9211568586145869E-022   0.2459353321363032E-005   0.6343857203000144E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.7321139485659882E-004   0.2977870231713613E-022
  0.3901925820205455E+001   0.2391381018256553E+001   0.3773813012164468E-012  -0.1289489372150456E-021   0.2406675795903966E-005   0.6427231225201459E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.8279131612933368E-006   0.2538051190260186E-022
  0.3900548338280362E+001   0.2410704496876856E+001   0.1257885901042961E-008  -0.3061238652719797E-021   0.2355559785201100E-005   0.6510250886507814E-001   0.0000000000000000E+000   0.0000000000000000E+000   0.4769832747454652E-004   0.1138239929747085E-022
  0.3899023631495693E+001   0.2433533203852975E+001   0.1198786103160493E-008  -0.3571361447767916E-021   0.2301170618555181E-005   0.6602054479033310E-001   0.0000000000000000E+000   0.0000000000000000E+000   0.4645630381692544E-004  -0.8467661186701691E-023
  0.3897502826835528E+001   0.2456818291897506E+001   0.1217119681455163E-009  -0.2265567511444526E-021   0.2249180993272542E-005   0.6693431627248160E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.1476838229446677E-004  -0.2321009546607816E-022
  0.3895989487166719E+001   0.2476577410589149E+001   0.6640982398395650E-008   0.2661141273733488E-022   0.2199375666903725E-005   0.6784387911593293E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.1088386389603090E-003  -0.2497270497830999E-022
  0.3894487616102170E+001   0.2490262663357170E+001   0.2041648658372775E-007   0.2791741090874634E-021   0.2151552656393792E-005   0.6874928845876688E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.1904029284823681E-003  -0.1208422605494564E-022
  0.3892735441308609E+001   0.2499091291463944E+001   0.2616381151340880E-007   0.4060856402573208E-021   0.2096122992347666E-005   0.6982885433223110E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.2149980522679312E-003   0.1394336274782484E-022
  0.3889466595472782E+001   0.2495769451081244E+001   0.2333201545165319E-008   0.6480224813248504E-022   0.2002602873774321E-005   0.7179415241278611E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.6388765604545932E-004   0.3872528524455110E-022
  0.3887970444084930E+001   0.2486199774934184E+001   0.7943273317855898E-009  -0.2277512147661309E-021   0.1963117141940467E-005   0.7268031256002634E-001   0.0000000000000000E+000   0.0000000000000000E+000   0.3719094181120903E-004   0.2992618352340836E-022
  0.3886514280139765E+001   0.2474741063826468E+001   0.4871576384943105E-008  -0.4279793318177455E-021   0.1924608065000038E-005   0.7356261786424509E-001   0.0000000000000000E+000   0.0000000000000000E+000   0.9190385925958149E-004   0.8194118621732858E-023
  0.3885069015946725E+001   0.2465890622242914E+001   0.2937422150781414E-008  -0.4367181858426170E-021   0.1887481892896195E-005   0.7444111861231435E-001   0.0000000000000000E+000   0.0000000000000000E+000   0.7121249671427306E-004  -0.1688643936792196E-022
  0.3883348633633233E+001   0.2459718235127228E+001   0.9933654890567426E-009  -0.1909822113823384E-021   0.1844761672231459E-005   0.7548883609205287E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.4130750731091598E-004  -0.3509049345663464E-022
  0.3881636633609675E+001   0.2458030911051448E+001   0.1998996422215600E-007   0.1884125638866061E-021   0.1803912608586190E-005   0.7653124551532002E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.1848361003488768E-003  -0.2972370418453178E-022
  0.3879798198842082E+001   0.2461007532623436E+001   0.4393649038253981E-007   0.4790219573146964E-021   0.1761596154964225E-005   0.7765382620385582E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.2732901395529456E-003  -0.3516144543119685E-024
  0.3877967776455863E+001   0.2468900790563684E+001   0.3120637572271449E-007   0.4433276416826554E-021   0.1721234081697410E-005   0.7877038476919530E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.2297026727213091E-003   0.3412127002301241E-022
  0.3876188674828821E+001   0.2480440460000039E+001   0.3533653710393140E-008   0.9115652250599967E-022   0.1682173886225769E-005   0.7988102152462098E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.7710104379040811E-004   0.4974198768017206E-022
  0.3872741606544728E+001   0.2501522468156327E+001   0.1124312557988102E-007  -0.5317233270524302E-021   0.1612425395966412E-005   0.8200071823250743E-001   0.0000000000000000E+000   0.0000000000000000E+000   0.1368400980880253E-003   0.9147454929738807E-023
  0.3871095579542888E+001   0.2508043228499770E+001   0.6358728710261154E-008  -0.5116885199884973E-021   0.1581084099184110E-005   0.8300944178108320E-001   0.0000000000000000E+000   0.0000000000000000E+000   0.1026614719109598E-003  -0.2649150005508699E-022
  0.3868664918619535E+001   0.2514151017900020E+001   0.8843755961586096E-008  -0.8914121178632392E-023   0.1536126748024578E-005   0.8451269997644428E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.1206452395061045E-003  -0.4639911752802984E-022
  0.3867467277895798E+001   0.2515676695248470E+001   0.3839808473278166E-007   0.3244216506126954E-021   0.1514508812653053E-005   0.8526020563165897E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.2509572926077704E-003  -0.3396902188863472E-022
  0.3864772717489675E+001   0.2515566409234101E+001   0.6461569521376005E-007   0.6030852725387075E-021   0.1465629261504432E-005   0.8699409304514416E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.3243355095656212E-003   0.2592910916848820E-022
  0.3861635396790240E+001   0.2513672626092673E+001   0.1371985741239989E-008  -0.4161883027891788E-023   0.1414371920763548E-005   0.8895840873616949E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.4704714755612065E-004   0.5937970015226878E-022
  0.3859435287784704E+001   0.2513735969493207E+001   0.1699943199164489E-007  -0.5686731402467219E-021   0.1380262877928413E-005   0.9033811368890059E-001   0.0000000000000000E+000   0.0000000000000000E+000   0.1650792931149516E-003   0.2534310626293450E-022
  0.3857554715073134E+001   0.2514767603755057E+001   0.1606677915471041E-007  -0.6437335829077165E-021   0.1351222430820068E-005   0.9154666101265885E-001   0.0000000000000000E+000   0.0000000000000000E+000   0.1600611000743371E-003  -0.2654740821124699E-022
  0.3855070402452371E+001   0.2517364448954561E+001   0.8578499187927067E-008  -0.5506596781184620E-022   0.1314370573350058E-005   0.9314832406613344E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.1165464408498390E-003  -0.5845924036994400E-022
  0.3853127110719113E+001   0.2520251127887776E+001   0.8055833908368414E-007   0.5433105199406708E-021   0.1286861937550688E-005   0.9439997200025778E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.3561596580800483E-003  -0.2989751964208384E-022
  0.3851220588519977E+001   0.2523782502987201E+001   0.9958813108953655E-007   0.7210569822214497E-021   0.1260357431935859E-005   0.9564483731118999E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.3949323525949729E-003   0.2794985813365523E-022
  0.3849332876828452E+001   0.2528360456484378E+001   0.2348442921786439E-007   0.3150318757254392E-021   0.1234930318847506E-005   0.9688304556615805E-001   0.0000000000000000E+000   0.0000000000000000E+000  -0.1912706407261069E-003   0.6922547854214977E-022
  0.3847505952800431E+001   0.2534317167030184E+001   0.6655490575647417E-008  -0.3708075933944869E-021   0.1210233341064319E-005   0.9811471917518726E-001   0.0000000000000000E+000   0.0000000000000000E+000   0.1015660661859282E-003   0.5978189719341308E-022
  0.3843915550670134E+001   0.2549669830535626E+001   0.2372477525733549E-007  -0.7373124584803728E-021   0.1164805687456766E-005   0.1005177479741256E+000   0.0000000000000000E+000   0.0000000000000000E+000   0.1907914372254609E-003  -0.3849045674436196E-022
  0.3842179374070046E+001   0.2558647751575315E+001   0.2064373321604967E-008  -0.2090958623817065E-021   0.1144239284305341E-005   0.1016702538739458E+000   0.0000000000000000E+000   0.0000000000000000E+000  -0.5613957250462597E-004  -0.7168341287764866E-022
  0.3840506820953194E+001   0.2568535114430968E+001   0.8062086952866335E-007   0.4910786541361258E-021   0.1124121134996327E-005   0.1028172683385063E+000   0.0000000000000000E+000   0.0000000000000000E+000  -0.3500083766223939E-003  -0.5286775782095162E-022
  0.3838523557128343E+001   0.2581606847228918E+001   0.1533385112921988E-006   0.8791400193852087E-021   0.1100944073459077E-005   0.1041847647900085E+000   0.0000000000000000E+000   0.0000000000000000E+000  -0.4813556723494890E-003   0.1829765151412993E-022
  0.3836605577176040E+001   0.2594685118029067E+001   0.4704801077851487E-007   0.4557375748989799E-021   0.1078492770961285E-005   0.1055446623465228E+000   0.0000000000000000E+000   0.0000000000000000E+000  -0.2659212576887569E-003   0.7940009072726456E-022
  0.3832792801388018E+001   0.2615432442512241E+001   0.5141693089702041E-007  -0.8376394708499861E-021   0.1036576101747550E-005   0.1082399269722067E+000   0.0000000000000000E+000   0.0000000000000000E+000   0.2764981982167787E-003   0.2839160821523886E-022
  0.3830888308634138E+001   0.2622815021800915E+001   0.3706871512512030E-007  -0.8171693972230401E-021   0.1017027586275736E-005   0.1095760435641234E+000   0.0000000000000000E+000   0.0000000000000000E+000   0.2341257069180312E-003  -0.5010641944326206E-022
  0.3829087474306064E+001   0.2628588058519510E+001   0.1026143405424932E-007  -0.5898832763911712E-022   0.9978379935036035E-006   0.1109051590685903E+000   0.0000000000000000E+000   0.0000000000000000E+000  -0.1228710527807418E-003  -0.8427967646436368E-022
  0.3825938277112957E+001   0.2635292385457576E+001   0.2191648279163889E-006   0.9841900673534480E-021   0.9655919728561464E-006   0.1132474403156903E+000   0.0000000000000000E+000   0.0000000000000000E+000  -0.5653111203837675E-003   0.5195004834888882E-023
  0.3823594945419404E+001   0.2638128766573495E+001   0.6316411052141013E-007   0.4568416546882865E-021   0.9429637573584520E-006   0.1149874231446784E+000   0.0000000000000000E+000   0.0000000000000000E+000  -0.3024577154805904E-003   0.9094294567751454E-022
  0.3821344635402392E+001   0.2641364618861688E+001   0.3477476946872030E-007  -0.7133037374241761E-021   0.9211877887696222E-006   0.1167159710444742E+000   0.0000000000000000E+000   0.0000000000000000E+000   0.2236943800425222E-003   0.6489976105285110E-022
  0.3818790449427969E+001   0.2647555152428416E+001   0.6060742725695475E-007  -0.9440238542306504E-021   0.8970351451050541E-006   0.1187152839397965E+000   0.0000000000000000E+000   0.0000000000000000E+000   0.2942245293271906E-003  -0.5567607098330043E-022
  0.3816281393938914E+001   0.2655824237412690E+001   0.6012717603636614E-007   0.3087115548399379E-021   0.8741944521779151E-006   0.1206998864474070E+000   0.0000000000000000E+000   0.0000000000000000E+000  -0.2919791475066971E-003  -0.8905886149569971E-022
  0.3814191439235608E+001   0.2664192298525820E+001   0.2982799282723973E-006   0.1124720507895631E-020   0.8555479420276040E-006   0.1223859594180599E+000   0.0000000000000000E+000   0.0000000000000000E+000  -0.6483142387549169E-003   0.5334387079583859E-023
  0.3812192604112432E+001   0.2673678848280309E+001   0.9183526805119750E-007   0.5435432548793259E-021   0.8375283135060551E-006   0.1240618169160286E+000   0.0000000000000000E+000   0.0000000000000000E+000  -0.3586692793078999E-003   0.1015488186609558E-021
  0.3809299375970160E+001   0.2687600088773467E+001   0.9895311902978290E-007  -0.1051394322316930E-020   0.8118592422971924E-006   0.1265544145919596E+000   0.0000000000000000E+000   0.0000000000000000E+000   0.3707015418488489E-003   0.4220675481977362E-022
  0.3806504764781435E+001   0.2693327665786077E+001   0.1096217429724694E-007  -0.5985384313700599E-021   0.7877727751463161E-006   0.1290228236014773E+000   0.0000000000000000E+000   0.0000000000000000E+000   0.1228594715163371E-003  -0.9898468871605642E-022
  0.3803312827042617E+001   0.2685162961097168E+001   0.3501611973287965E-006   0.1147717243333801E-020   0.7616697709092284E-006   0.1318713230546354E+000   0.0000000000000000E+000   0.0000000000000000E+000  -0.6909197437203602E-003  -0.2522945426398884E-022
  0.3801773820942382E+001   0.2675851602700048E+001   0.2750125657330975E-006   0.9891413297304896E-021   0.7492762732614841E-006   0.1332828300482186E+000   0.0000000000000000E+000   0.0000000000000000E+000  -0.6108131668893838E-003   0.8246350029022915E-022
  0.3800318400505533E+001   0.2663310850217300E+001   0.2938156204709614E-008  -0.1513954681239701E-021   0.7371442598453408E-006   0.1346876879209515E+000   0.0000000000000000E+000   0.0000000000000000E+000  -0.6298840568307544E-004   0.1167266371840685E-021
