                                                                                                                                                                                                                                                                
                        1                         2                         3                         4                         5                         6                         7                         8
                        E                         H                         W                       eta                         l                      n_pg                 Re(omega)                 Im(omega)
  0.9999999999999999E+000   0.1218065839858281E+001   0.1004375174672014E-001   0.3511651312962782E+000                         2                         0   0.1560811224881652E+001   0.1026628229776529E-002
                        1                         2                         3                         4                         5                         6                         7                         8                         9                        10
                  alpha_0                   alpha_1                     dE_dx                     dW_dx                       rho                         x                  Re(xi_h)                  Im(xi_h)                  Re(xi_r)                  Im(xi_r)
 -0.6434964083107342E+004   0.1755072359672975E+001   0.1250629133447441E-005  -0.1411152489199167E-016   0.3691718121124179E-005   0.5000000000000000E-001   0.4337050402087425E-003   0.4687377885709606E-003   0.4495934403192547E-018   0.5577489633214745E-018
 -0.6198719705633410E+004   0.1805555590827086E+001   0.1223978001059425E-005   0.7714876751523297E-008   0.3610584266253832E-005   0.5064392748802204E-001   0.4274825558047581E-003   0.4633073364490973E-003   0.3234201824536057E-004   0.3569040379702338E-004
 -0.5939494886547059E+004   0.1862843999879583E+001   0.1214693279193636E-005   0.1026601428748422E-006   0.3520357098579223E-005   0.5138981975388769E-001   0.4254816353767678E-003   0.4587278751690801E-003   0.6878596539584932E-004   0.7588079528964017E-004
 -0.5695654911139949E+004   0.1916998305239035E+001   0.1228310433155995E-005   0.3036167859137731E-006   0.3434083848112780E-005   0.5213279064987281E-001   0.4293146731244775E-003   0.4557924515665628E-003   0.1044872674662426E-003   0.1148572199043322E-003
 -0.5451315723119492E+004   0.1969737323403317E+001   0.1267669928149212E-005   0.6423556259788869E-006   0.3346320562130648E-005   0.5292176226980150E-001   0.4398127513395762E-003   0.4541420346802101E-003   0.1423207112080432E-003   0.1552666972503038E-003
 -0.5221879731519932E+004   0.2017381964656355E+001   0.1331879085008357E-005   0.1114396474218329E-005   0.3262018959530740E-005   0.5370746722794626E-001   0.4566560133070701E-003   0.4535696274658702E-003   0.1804703087317228E-003   0.1946432031572206E-003
 -0.4903061015448171E+004   0.2079708026203171E+001   0.1474239441680046E-005   0.2064818803275792E-005   0.3143842885083583E-005   0.5488039612828963E-001   0.4927505796022803E-003   0.4534571848221664E-003   0.2395081654243035E-003   0.2520060010069284E-003
 -0.4754243915422443E+004   0.2106814259081408E+001   0.1567143119220629E-005   0.2654600209321978E-005   0.3087792626904162E-005   0.5546388208716792E-001   0.5153127576605016E-003   0.4536088940889859E-003   0.2700875575456781E-003   0.2799440741523588E-003
 -0.4565901351519743E+004   0.2138969995335818E+001   0.1716260485629019E-005   0.3547369562945306E-005   0.3015740328712715E-005   0.5623883526986578E-001   0.5499752725477325E-003   0.4539748892854355E-003   0.3124222699945857E-003   0.3164767388508431E-003
 -0.4475920647609119E+004   0.2153559182211912E+001   0.1802251010964231E-005   0.4042034075156739E-005   0.2980866760589328E-005   0.5662453708937720E-001   0.5691460188877119E-003   0.4542123054432892E-003   0.3342939094697436E-003   0.3344227901272922E-003
 -0.4312040229769897E+004   0.2178870115550603E+001   0.1987388718064464E-005   0.5060816030434488E-005   0.2915903484537884E-005   0.5735475060071128E-001   0.6087640228791504E-003   0.4545891837138738E-003   0.3774211195361243E-003   0.3679799453069883E-003
