                                                                                                                                                                                                                                                                
                        1                         2                         3                         4                         5                         6                         7                         8
                        E                         H                         W                       eta                         l                      n_pg                 Re(omega)                 Im(omega)
  0.1000000000000000E+001   0.2084675221170198E+002   0.2498195602627949E+001   0.7869395990254413E+000                         2                         3   0.6457050752735644E+001   0.6198444847887021E-001
                        1                         2                         3                         4                         5                         6                         7                         8                         9                        10
                  alpha_0                   alpha_1                     dE_dx                     dW_dx                       rho                         x                  Re(xi_h)                  Im(xi_h)                  Re(xi_r)                  Im(xi_r)
 -0.3722488499494792E+003   0.1777196726677137E+001   0.2062616866905908E-002   0.3812360689712650E-015   0.3691718121124179E-005   0.5000000000000000E-001  -0.2556567890557250E-001  -0.4357833142716452E-002   0.6974507842210987E-018  -0.4473042892637378E-018
 -0.3584469882131930E+003   0.1828552923908749E+001   0.2021297568855215E-002   0.1146526194938487E-004   0.3610584266253832E-005   0.5064392748802204E-001  -0.2525356858694187E-001  -0.4303648300619249E-002  -0.1930408361400300E-002  -0.3289377250545021E-003
 -0.3433025853680584E+003   0.1886880408339567E+001   0.1986591240061124E-002   0.6499445018216514E-004   0.3520357098579223E-005   0.5138981975388769E-001  -0.2494325499824421E-001  -0.4247291278392081E-002  -0.4100323422381319E-002  -0.6984513806834459E-003
 -0.3290570116302851E+003   0.1942100076771510E+001   0.1964867667449667E-002   0.1483509768103195E-003   0.3434083848112780E-005   0.5213279064987281E-001  -0.2468550688037374E-001  -0.4197914495702827E-002  -0.6197354254478036E-002  -0.1055130418153125E-002
 -0.3147822935117250E+003   0.1996003849177546E+001   0.1954735465517520E-002   0.2705909811651733E-003   0.3346320562130648E-005   0.5292176226980150E-001  -0.2446373573685382E-001  -0.4152465544652630E-002  -0.8360600019367620E-002  -0.1422437148511920E-002
 -0.3013782501213794E+003   0.2044844115717563E+001   0.1956418389307484E-002   0.4428875922358292E-003   0.3262018959530740E-005   0.5370746722794626E-001  -0.2429183131078392E-001  -0.4113541267620435E-002  -0.1045600406388598E-001  -0.1777407331636774E-002
 -0.2827523753895701E+003   0.2109018665934336E+001   0.1980005173767874E-002   0.7936566777157361E-003   0.3143842885083583E-005   0.5488039612828963E-001  -0.2411651641093598E-001  -0.4065162846097734E-002  -0.1348754522538033E-001  -0.2289010495893587E-002
 -0.2740582685635248E+003   0.2137073664966786E+001   0.2000245680328648E-002   0.9920326295364728E-003   0.3087792626904162E-005   0.5546388208716792E-001  -0.2406310008727152E-001  -0.4045131213044536E-002  -0.1495642846682018E-001  -0.2535918534293145E-002
 -0.2630550346556463E+003   0.2170520628755910E+001   0.2035183468847710E-002   0.1261631859099265E-002   0.3015740328712715E-005   0.5623883526986578E-001  -0.2402439500940778E-001  -0.4022574721220469E-002  -0.1687180251198361E-001  -0.2856705078578778E-002
