                                                                                                                                                                                                                                                                
                        1                         2                         3                         4                         5                         6                         7                         8
                        E                         H                         W                       eta                         l                      n_pg                 Re(omega)                 Im(omega)
  0.9999999999999998E+000   0.1734479447901259E+001  -0.1477576934833321E-002  -0.3872412421974430E-001                         3                         0   0.1862514133047725E+001  -0.1306186554346275E-003
                        1                         2                         3                         4                         5                         6                         7                         8                         9                        10
                  alpha_0                   alpha_1                     dE_dx                     dW_dx                       rho                         x                  Re(xi_h)                  Im(xi_h)                  Re(xi_r)                  Im(xi_r)
 -0.9039702543817162E+004   0.1755670379295992E+001   0.2011976580903551E-008  -0.4066628863256116E-021   0.3691718121124179E-005   0.5000000000000000E-001   0.1314898243634732E-004   0.1245572115229790E-004   0.2798010498912859E-020  -0.3037858507442785E-020
 -0.8707889158402402E+004   0.1806177454929411E+001   0.1979008975699922E-008   0.4263088109846055E-010   0.3610584266253832E-005   0.5064392748802204E-001   0.1299343638710487E-004   0.1233383746657009E-004   0.1977853589944293E-005   0.1900472542036135E-005
 -0.8343798916142852E+004   0.1863494261588426E+001   0.1999103275110903E-008   0.3194495434611761E-009   0.3520357098579223E-005   0.5138981975388769E-001   0.1303351521178872E-004   0.1228201172106592E-004   0.4218817980449644E-005   0.4048801399402153E-005
 -0.8001317186749287E+004   0.1917677699418729E+001   0.2080615429242209E-008   0.8793593733420236E-009   0.3434083848112780E-005   0.5213279064987281E-001   0.1331182563800880E-004   0.1231447291481181E-004   0.6436934493331770E-005   0.6147914601884013E-005
 -0.7658134258594288E+004   0.1970448586988916E+001   0.2235438981165505E-008   0.1827361490439093E-008   0.3346320562130648E-005   0.5292176226980150E-001   0.1386589909864333E-004   0.1242435219299976E-004   0.8822639628066502E-005   0.8348217062487810E-005
 -0.7335883359310384E+004   0.2018125958338170E+001   0.2461580188949978E-008   0.3182469763211257E-008   0.3262018959530740E-005   0.5370746722794626E-001   0.1467464223000591E-004   0.1259001553613788E-004   0.1127277100200520E-004   0.1052201884979734E-004
 -0.6888091206722810E+004   0.2080502668179301E+001   0.2942259219271764E-008   0.6030008623538930E-008   0.3143842885083583E-005   0.5488039612828963E-001   0.1632837907554170E-004   0.1288601107276623E-004   0.1516306845523963E-004   0.1375130111274521E-004
 -0.6679072299631627E+004   0.2107634914599278E+001   0.3254082409530370E-008   0.7873117300027588E-008   0.3087792626904162E-005   0.5546388208716792E-001   0.1734601344396632E-004   0.1304805217565480E-004   0.1722560651313031E-004   0.1535298025719448E-004
 -0.6414538444331991E+004   0.2139826070564401E+001   0.3757386482270114E-008   0.1076336568915600E-007   0.3015740328712715E-005   0.5623883526986578E-001   0.1890347171744883E-004   0.1327384935324046E-004   0.2013481665989482E-004   0.1747853435806874E-004
 -0.6288157320692653E+004   0.2154433257334513E+001   0.4050359654005212E-008   0.1241851627010817E-007   0.2980866760589328E-005   0.5662453708937720E-001   0.1976563991209655E-004   0.1338969260540428E-004   0.2166153061324105E-004   0.1853596288558550E-004
 -0.6057981386330110E+004   0.2179778990864682E+001   0.4690036582495197E-008   0.1594483428202215E-007   0.2915903484537884E-005   0.5735475060071128E-001   0.2155354504842539E-004   0.1360674587240073E-004   0.2471787290806377E-004   0.2053756045369097E-004
 -0.5748273728619533E+004   0.2211108375368628E+001   0.5817202299401178E-008   0.2188087773238400E-007   0.2826901726242797E-005   0.5839888057093348E-001   0.2443418291436088E-004   0.1388475455986406E-004   0.2950325895914482E-004   0.2339479537700434E-004
 -0.5346324587727700E+004   0.2246505076880597E+001   0.7910115782926909E-008   0.3169203200535785E-007   0.2710652361051653E-005   0.5987372641525620E-001   0.2908174196120230E-004   0.1418861460397729E-004   0.3719459011617681E-004   0.2740254805880704E-004
 -0.5154914204771820E+004   0.2260854116694508E+001   0.9259720200521279E-008   0.3744124491630479E-007   0.2654446850315382E-005   0.6063007879060343E-001   0.3172619904582943E-004   0.1432133122094962E-004   0.4158420289669118E-004   0.2943876751498794E-004
 -0.4984602116723770E+004   0.2272518580088107E+001   0.1072542122091326E-007   0.4306023640367786E-007   0.2603242016983323E-005   0.6133585050794195E-001   0.3436798381738458E-004   0.1445130606086529E-004   0.4597946967681378E-004   0.3132607941640678E-004
 -0.4822422241918560E+004   0.2284128158019389E+001   0.1240843086651061E-007   0.4888929540509468E-007   0.2553371235116653E-005   0.6203905421594492E-001   0.3716521330653991E-004   0.1459450329397737E-004   0.5066161387277750E-004   0.3319590678524668E-004
 -0.4520353238159801E+004   0.2309928526176515E+001   0.1652235064700385E-007   0.6089880744298340E-007   0.2459353321363032E-005   0.6343857203000144E-001   0.4319502481267304E-004   0.1493814034508714E-004   0.6095013050228190E-004   0.3689762776531705E-004
 -0.4352530978064157E+004   0.2326925716458589E+001   0.1953954063554423E-007   0.6916244468075706E-007   0.2406675795903966E-005   0.6427231225201459E-001   0.4708988964351371E-004   0.1518767808915417E-004   0.6770398597604842E-004   0.3909591353243549E-004
 -0.4193729829953978E+004   0.2344941569612944E+001   0.2303598927627829E-007   0.7856994798761673E-007   0.2355559785201100E-005   0.6510250886507814E-001   0.5121604208594741E-004   0.1546383940358727E-004   0.7492614221180699E-004   0.4128637656166149E-004
 -0.4027163099199891E+004   0.2366313473128302E+001   0.2755190526807369E-007   0.9104987080889272E-007   0.2301170618555181E-005   0.6602054479033310E-001   0.5607256937959398E-004   0.1577500162811538E-004   0.8351869682860130E-004   0.4371303046612950E-004
 -0.3870183911150006E+004   0.2388136883081924E+001   0.3280729630945560E-007   0.1066262217845561E-006   0.2249180993272542E-005   0.6693431627248160E-001   0.6121754375396162E-004   0.1605162019429311E-004   0.9273097143161358E-004   0.4613024615572251E-004
 -0.3722085253585863E+004   0.2406430956089241E+001   0.3887680261954780E-007   0.1261451049617390E-006   0.2199375666903725E-005   0.6784387911593293E-001   0.6664685945709689E-004   0.1624446103974649E-004   0.1025828357405159E-003   0.4852838459165200E-004
 -0.3582222947833653E+004   0.2418649447124094E+001   0.4584223021867817E-007   0.1501405691980421E-006   0.2151552656393792E-005   0.6874928845876688E-001   0.7235886794412295E-004   0.1630940998926832E-004   0.1130924313284087E-003   0.5089096056678117E-004
 -0.3424650531537399E+004   0.2425730001415912E+001   0.5546318668913350E-007   0.1843070556176053E-006   0.2096122992347666E-005   0.6982885433223110E-001   0.7955637229018454E-004   0.1617032329747623E-004   0.1265782152076489E-003   0.5364325399457752E-004
 -0.3161177364900833E+004   0.2419156320109453E+001   0.7719910657446029E-007   0.2512884191882483E-006   0.2002602873774321E-005   0.7179415241278611E-001   0.9359722703274821E-004   0.1534532939935515E-004   0.1539332622879838E-003   0.5833785188813033E-004
 -0.3051389422928817E+004   0.2408099111154793E+001   0.8908471890473463E-007   0.2827340331794029E-006   0.1963117141940467E-005   0.7268031256002634E-001   0.1003425980504318E-003   0.1480045762896726E-004   0.1674396575630449E-003   0.6029378894893852E-004
 -0.2947182799413703E+004   0.2395163534277450E+001   0.1024497759699091E-006   0.3109141331108271E-006   0.1924608065000038E-005   0.7356261786424509E-001   0.1073697062582416E-003   0.1423139584628492E-004   0.1816531321798589E-003   0.6212654485715224E-004
 -0.2848191837667155E+004   0.2384835598338438E+001   0.1174720728757297E-006   0.3353105459987136E-006   0.1887481892896195E-005   0.7444111861231435E-001   0.1146854699655010E-003   0.1369514428926119E-004   0.1965870452075914E-003   0.6384132924238546E-004
 -0.2735974342200966E+004   0.2376890811128565E+001   0.1378764375740967E-006   0.3601102383463782E-006   0.1844761672231459E-005   0.7548883609205287E-001   0.1238316929476368E-003   0.1315241021326391E-004   0.2154525980207812E-003   0.6575800166204824E-004
 -0.2630233545051703E+004   0.2373427842803258E+001   0.1611489746326668E-006   0.3824221207194295E-006   0.1803912608586190E-005   0.7653124551532002E-001   0.1333838372684808E-003   0.1274419526137164E-004   0.2353915346318124E-003   0.6754885548007478E-004
