                                                                                                                                                                                                                                                                
                        1                         2                         3                         4                         5                         6                         7                         8
                        E                         H                         W                       eta                         l                      n_pg                 Re(omega)                 Im(omega)
  0.9999999999999996E+000   0.2713155025353287E+001  -0.4417001959956930E-001  -0.4698275071799295E+000                         5                         0   0.2329444150587555E+001  -0.3035169393183876E-002
                        1                         2                         3                         4                         5                         6                         7                         8                         9                        10
                  alpha_0                   alpha_1                     dE_dx                     dW_dx                       rho                         x                  Re(xi_h)                  Im(xi_h)                  Re(xi_r)                  Im(xi_r)
 -0.1444968839506913E+005   0.1756796582726345E+001   0.7694074402377228E-014  -0.2066053087804763E-025   0.3691718121124179E-005   0.5000000000000000E-001   0.1781492107862493E-007   0.1358004722319389E-007   0.2727670509809785E-022  -0.2389898425855454E-022
 -0.1391938023768962E+005   0.1807348432836338E+001   0.7655298953301075E-014   0.4375973682760533E-015   0.3610584266253832E-005   0.5064392748802204E-001   0.1768976461821643E-007   0.1349929603121771E-007   0.6756714261551622E-008   0.5195846314523597E-008
 -0.1333748676942274E+005   0.1864718554217541E+001   0.8054377468868420E-014   0.2639469096063054E-014   0.3520357098579223E-005   0.5138981975388769E-001   0.1803014255183926E-007   0.1361084459484456E-007   0.1449427219473501E-007   0.1111784199340175E-007
 -0.1279012824118700E+005   0.1918956676319307E+001   0.8939808793458196E-014   0.7054288160066179E-014   0.3434083848112780E-005   0.5213279064987281E-001   0.1888501120928989E-007   0.1391639352660052E-007   0.2231478797923259E-007   0.1699804798342264E-007
 -0.1224164899360845E+005   0.1971787373922995E+001   0.1046669330038381E-013   0.1481944270333238E-013   0.3346320562130648E-005   0.5292176226980150E-001   0.2035259127209864E-007   0.1441794784089974E-007   0.3098384744697633E-007   0.2330724665427114E-007
 -0.1172662353036420E+005   0.2019526159577313E+001   0.1267860478531260E-013   0.2661812247626774E-013   0.3262018959530740E-005   0.5370746722794626E-001   0.2238340410534147E-007   0.1505536859320800E-007   0.4022134245530895E-007   0.2972195181103154E-007
 -0.1101095632889205E+005   0.2081997878151974E+001   0.1755981473688502E-013   0.5360909071680003E-013   0.3143842885083583E-005   0.5488039612828963E-001   0.2645210819928759E-007   0.1615306676646509E-007   0.5565157865234510E-007   0.3963667880832025E-007
 -0.1067689956584984E+005   0.2109178910968162E+001   0.2088497587830254E-013   0.7248687865805619E-013   0.3087792626904162E-005   0.5546388208716792E-001   0.2896088041748821E-007   0.1675000619783717E-007   0.6420852394894016E-007   0.4473364246551842E-007
 -0.1025411804048471E+005   0.2141436482642816E+001   0.2650338941555935E-013   0.1040449782378098E-012   0.3015740328712715E-005   0.5623883526986578E-001   0.3283489616862162E-007   0.1758231287935734E-007   0.7671429156283840E-007   0.5169250603927630E-007
