                                                                                                                                                                                                                                                                
                        1                         2                         3                         4                         5                         6                         7                         8
                        E                         H                         W                       eta                         l                      n_pg                 Re(omega)                 Im(omega)
  0.1000000000000000E+001   0.4883383497743363E+002   0.7599808927727369E+001   0.7739308674744053E+000                         5                         4   0.9882695480225385E+001   0.1230836562197629E+000
                        1                         2                         3                         4                         5                         6                         7                         8                         9                        10
                  alpha_0                   alpha_1                     dE_dx                     dW_dx                       rho                         x                  Re(xi_h)                  Im(xi_h)                  Re(xi_r)                  Im(xi_r)
 -0.7989447153738482E+003   0.1809459509330452E+001   0.4253542803392844E-008   0.2927793759756230E-021   0.3691718121124179E-005   0.5000000000000000E-001   0.1628243957801351E-004   0.3505428716612647E-005   0.2022692770967933E-021  -0.3348270979456638E-021
 -0.7694855967957584E+003   0.1862099703042577E+001   0.4202827373786331E-008   0.9134475213414695E-010   0.3610584266253832E-005   0.5064392748802204E-001   0.1611841463322598E-004   0.3469274518867699E-005   0.6191339356246011E-005   0.1332456820460332E-005
 -0.7371608128969420E+003   0.1921956214455731E+001   0.4254081417141085E-008   0.4171846646628761E-009   0.3520357098579223E-005   0.5138981975388769E-001   0.1604524174013742E-004   0.3450579340200962E-005   0.1318767321522045E-004   0.2837258510111504E-005
 -0.7067544181151939E+003   0.1978744323107619E+001   0.4416038043241060E-008   0.9245725145257054E-009   0.3434083848112780E-005   0.5213279064987281E-001   0.1608959835868700E-004   0.3455423164773634E-005   0.2002194760344943E-004   0.4305489536635891E-005
 -0.6762856981253584E+003   0.2034363710051062E+001   0.4705338619184200E-008   0.1745833641242844E-008   0.3346320562130648E-005   0.5292176226980150E-001   0.1625644115293117E-004   0.3484468359278871E-005   0.2719055923091217E-004   0.5842884009748426E-005
 -0.6476752908595709E+003   0.2084965772589055E+001   0.5112043256892383E-008   0.3062828982483101E-008   0.3262018959530740E-005   0.5370746722794626E-001   0.1653819759781922E-004   0.3535968074003833E-005   0.3429134609216147E-004   0.7362166334235817E-005
 -0.6079188348637662E+003   0.2151866204776573E+001   0.5948101599349019E-008   0.5974943114823667E-008   0.3143842885083583E-005   0.5488039612828963E-001   0.1715762608310496E-004   0.3650508272197512E-005   0.4493545097781915E-004   0.9630688693213941E-005
 -0.5893613846730645E+003   0.2181321090018698E+001   0.6471822593605377E-008   0.7648040878539626E-008   0.3087792626904162E-005   0.5546388208716792E-001   0.1755302416683434E-004   0.3723982949618048E-005   0.5027787946969563E-004   0.1076465767887931E-004
 -0.5658750405283088E+003   0.2216673972655331E+001   0.7285216052628393E-008   0.9931294502957675E-008   0.3015740328712715E-005   0.5623883526986578E-001   0.1816289101171876E-004   0.3837878248247878E-005   0.5746804954684487E-004   0.1228530352759997E-004
 -0.5546543993617621E+003   0.2232887594507064E+001   0.7743301305704478E-008   0.1114209465414326E-007   0.2980866760589328E-005   0.5662453708937720E-001   0.1850225549711269E-004   0.3901538448550644E-005   0.6109434901831679E-004   0.1304979071623650E-004
 -0.5342183419150066E+003   0.2261338831038842E+001   0.8711927044037791E-008   0.1386792463812955E-007   0.2915903484537884E-005   0.5735475060071128E-001   0.1920760395019594E-004   0.4034170271588380E-005   0.6807046650934663E-004   0.1451578990549696E-004
 -0.5067209547045012E+003   0.2297248516138190E+001   0.1035149235051789E-007   0.1896977316561083E-007   0.2826901726242797E-005   0.5839888057093348E-001   0.2035634008974530E-004   0.4250164045934141E-005   0.7834051969239114E-004   0.1666266652894514E-004
 -0.4710336831223737E+003   0.2339386808826231E+001   0.1326098175130818E-007   0.2716484922534139E-007   0.2710652361051653E-005   0.5987372641525620E-001   0.2225506303030418E-004   0.4606854992540214E-005   0.9356425706739210E-004   0.1982052113118615E-004
 -0.4540390845263303E+003   0.2357319865632474E+001   0.1506222118786991E-007   0.3100841158221536E-007   0.2654446850315382E-005   0.6063007879060343E-001   0.2335635348920831E-004   0.4814146326332288E-005   0.1017365345730495E-003   0.2150438866674558E-004
 -0.4389176196392683E+003   0.2372412070304986E+001   0.1695336589677996E-007   0.3439659557501143E-007   0.2603242016983323E-005   0.6133585050794195E-001   0.2446130416463010E-004   0.5022893742170050E-005   0.1096187875588419E-003   0.2312166239205508E-004
 -0.4245180851266518E+003   0.2387518313750810E+001   0.1905845573925132E-007   0.3786829807345975E-007   0.2553371235116653E-005   0.6203905421594492E-001   0.2563641883596931E-004   0.5245721723048420E-005   0.1177375439645314E-003   0.2478113040220301E-004
