                                                                                                                                                                                                                                                                
                        1                         2                         3                         4                         5                         6                         7                         8
                        E                         H                         W                       eta                         l                      n_pg                 Re(omega)                 Im(omega)
  0.1000000000000000E+001   0.4665278212500794E+001  -0.1692208391593609E+000  -0.6867058908571086E+000                         9                         0   0.3054595951185948E+001  -0.8863015261061338E-002
                        1                         2                         3                         4                         5                         6                         7                         8                         9                        10
                  alpha_0                   alpha_1                     dE_dx                     dW_dx                       rho                         x                  Re(xi_h)                  Im(xi_h)                  Re(xi_r)                  Im(xi_r)
 -0.2521298051106411E+005   0.1759034313600634E+001   0.2166167478752288E-024   0.3128187753327688E-036   0.3691718121124179E-005   0.5000000000000000E-001   0.6148762315615446E-013   0.3046879182076770E-013   0.1357182338938443E-028   0.8546848974336185E-029
 -0.2428776240854616E+005   0.1809674970627342E+001   0.2220235558727263E-024   0.3180560543755522E-025   0.3610584266253832E-005   0.5064392748802204E-001   0.6170765431151542E-013   0.3054859675576727E-013   0.7071460731571677E-013   0.3519339170458346E-013
 -0.2327254437870605E+005   0.1867150826311889E+001   0.2585455582883587E-024   0.1756652405300296E-024   0.3520357098579223E-005   0.5138981975388769E-001   0.6518966732376075E-013   0.3167924645469684E-013   0.1535993592979846E-012   0.7604749925213805E-013
 -0.2231757871505082E+005   0.1921497386493913E+001   0.3325234450787715E-024   0.4773671029012367E-024   0.3434083848112780E-005   0.5213279064987281E-001   0.7213271144386682E-013   0.3381436579115790E-013   0.2412759031432445E-012   0.1180787551278793E-012
 -0.2136065768612566E+005   0.1974446672207345E+001   0.4651216424909244E-024   0.1064280635744525E-023   0.3346320562130648E-005   0.5292176226980150E-001   0.8342989346938157E-013   0.3703009016010711E-013   0.3448442549550448E-012   0.1654740597962488E-012
 -0.2046210276396668E+005   0.2022307213440234E+001   0.6745647060853964E-024   0.2076114640780924E-023   0.3262018959530740E-005   0.5370746722794626E-001   0.9895655894476037E-013   0.4101047776463030E-013   0.4636735686839613E-012   0.2165274850433908E-012
 -0.1921349194975431E+005   0.2084967256493866E+001   0.1207688207413614E-023   0.4802650612150325E-023   0.3143842885083583E-005   0.5488039612828963E-001   0.1308181765219602E-012   0.4790729392221665E-013   0.6822369907700132E-012   0.3014871617286554E-012
 -0.1863066947687421E+005   0.2112244979145271E+001   0.1620716893806660E-023   0.6989673588450942E-023   0.3087792626904162E-005   0.5546388208716792E-001   0.1511867217580318E-012   0.5169992564037697E-013   0.8137569670352925E-012   0.3479686514353527E-012
 -0.1789305054745677E+005   0.2144634166540619E+001   0.2398350972448648E-023   0.1109958292113562E-022   0.3015740328712715E-005   0.5623883526986578E-001   0.1837564351499725E-012   0.5701763412294372E-013   0.1018417745026663E-011   0.4143979831790943E-012
