                                                                                                                                                                                                                                                                
                        1                         2                         3                         4                         5                         6                         7                         8
                        E                         H                         W                       eta                         l                      n_pg                 Re(omega)                 Im(omega)
  0.1000000000000000E+001   0.5157177253237570E+001  -0.2056438285195248E+000  -0.7087913772937678E+000                        10                         0   0.3211596877952639E+001  -0.1024431494317385E-001
                        1                         2                         3                         4                         5                         6                         7                         8                         9                        10
                  alpha_0                   alpha_1                     dE_dx                     dW_dx                       rho                         x                  Re(xi_h)                  Im(xi_h)                  Re(xi_r)                  Im(xi_r)
 -0.2787696856172560E+005   0.1759597587729023E+001   0.5269849409193814E-027   0.2304638946000946E-038   0.3691718121124179E-005   0.5000000000000000E-001   0.2798941935359807E-014   0.1240646812596515E-014  -0.1565589344463914E-029   0.4729152933873625E-030
 -0.2685400755963939E+005   0.1810260587999593E+001   0.5449050423549698E-027   0.9054814859689490E-028   0.3610584266253832E-005   0.5064392748802204E-001   0.2817022825587579E-014   0.1246759268853750E-014   0.3943792576098331E-014   0.1754579141509942E-014
 -0.2573153875115235E+005   0.1867763044950196E+001   0.6531681223339286E-027   0.4973070366315821E-027   0.3520357098579223E-005   0.5138981975388769E-001   0.3005509822212755E-014   0.1302677514790475E-014   0.8595603571162341E-014   0.3801330590270902E-014
 -0.2467568754685765E+005   0.1922136885779957E+001   0.8734622517773071E-027   0.1364466293305199E-026   0.3434083848112780E-005   0.5213279064987281E-001   0.3375005207410731E-014   0.1406084655842867E-014   0.1357729195654331E-013   0.5926681750108280E-014
 -0.2361767439671675E+005   0.1975116004681032E+001   0.1276201389611136E-026   0.3098663542945114E-026   0.3346320562130648E-005   0.5292176226980150E-001   0.3975445240081376E-014   0.1560934123860869E-014   0.1956088743400041E-013   0.8353381956817245E-014
 -0.2262419332269752E+005   0.2023007175017217E+001   0.1929616534239060E-026   0.6185109629305452E-026   0.3262018959530740E-005   0.5370746722794626E-001   0.4804501109845295E-014   0.1752185090845154E-014   0.2655544531972878E-013   0.1100334014760565E-013
 -0.2124367533640060E+005   0.2085714591116524E+001   0.3658787628060514E-026   0.1484442426626175E-025   0.3143842885083583E-005   0.5488039612828963E-001   0.6524261401266736E-014   0.2083157463697180E-014   0.3972508266957843E-013   0.1548405640046941E-013
 -0.2059928165687691E+005   0.2113016635167970E+001   0.5043053945254703E-026   0.2201733241717573E-025   0.3087792626904162E-005   0.5546388208716792E-001   0.7636475245377647E-014   0.2264733336558357E-014   0.4780415200345346E-013   0.1796577463019373E-013
 -0.1978373832669282E+005   0.2145438928290933E+001   0.7721264446321871E-026   0.3588262404143859E-025   0.3015740328712715E-005   0.5623883526986578E-001   0.9433222254376513E-014   0.2518066351466421E-014   0.6056165479845806E-013   0.2154071256256790E-013
 -0.1939411220795681E+005   0.2160163551615631E+001   0.9536978683801273E-026   0.4542258646594574E-025   0.2980866760589328E-005   0.5662453708937720E-001   0.1048235454964062E-013   0.2647647139183344E-014   0.6790404122930460E-013   0.2344041850673320E-013
 -0.1868449227196336E+005   0.2185736296807892E+001   0.1418082467455744E-025   0.7012940970913394E-025   0.2915903484537884E-005   0.5735475060071128E-001   0.1278726522573334E-013   0.2888322765033638E-014   0.8395846978439321E-013   0.2725124405741046E-013
 -0.1772968008644438E+005   0.2217400490314521E+001   0.2472204143104162E-025   0.1267676161831095E-024   0.2826901726242797E-005   0.5839888057093348E-001   0.1689135770599239E-013   0.3185454281370748E-014   0.1127191688720304E-012   0.3312558326992659E-013
 -0.1649049166840464E+005   0.2253289997933670E+001   0.5276462901074401E-025   0.2681048297905346E-024   0.2710652361051653E-005   0.5987372641525620E-001   0.2463016599993286E-013   0.3431794577580178E-014   0.1681200312514261E-012   0.4195234096671024E-013
