                                                                                                                                                                                                                                                                
                        1                         2                         3                         4                         5                         6                         7                         8
                        E                         H                         W                       eta                         l                      n_pg                 Re(omega)                 Im(omega)
  0.9999999999999998E+000   0.2919315056704598E+002   0.3657210969581753E+001   0.7695947443124141E+000                        10                         2   0.7641092927984318E+001   0.7655695850309240E-001
                        1                         2                         3                         4                         5                         6                         7                         8                         9                        10
                  alpha_0                   alpha_1                     dE_dx                     dW_dx                       rho                         x                  Re(xi_h)                  Im(xi_h)                  Re(xi_r)                  Im(xi_r)
 -0.4920969475148608E+004   0.1787074835674285E+001   0.1897000660441026E-021  -0.2695149431778519E-033   0.3691718121124179E-005   0.5000000000000000E-001   0.1776308467877644E-011   0.4678152038090062E-012   0.2233593951694655E-026   0.1645491763372180E-026
 -0.4740272612797713E+004   0.1838827079717943E+001   0.1929711394537183E-021   0.1685530849713544E-022   0.3610584266253832E-005   0.5064392748802204E-001   0.1772743868231605E-011   0.4663417007483354E-012   0.2498049459149414E-011   0.6575633762252593E-012
 -0.4541998583114208E+004   0.1897626320455943E+001   0.2160995951177377E-021   0.7852477389781429E-022   0.3520357098579223E-005   0.5138981975388769E-001   0.1818741379042449E-011   0.4764594986338704E-012   0.5375802013995331E-011   0.1413072661474090E-011
 -0.4355491940885195E+004   0.1953330023379745E+001   0.2610280602184381E-021   0.1910158734616526E-021   0.3434083848112780E-005   0.5213279064987281E-001   0.1916479929288624E-011   0.4987227468491470E-012   0.8300838591209242E-011   0.2176784485744181E-011
 -0.4168603396102616E+004   0.2007763386830040E+001   0.3364649924857634E-021   0.3994854952538795E-021   0.3346320562130648E-005   0.5292176226980150E-001   0.2075908070225928E-011   0.5351183732129384E-012   0.1155931288622483E-010   0.3020578686442287E-011
 -0.3993113834799662E+004   0.2057147562525327E+001   0.4466571880342207E-021   0.7569129027763629E-021   0.3262018959530740E-005   0.5370746722794626E-001   0.2292305339689591E-011   0.5840040336305869E-012   0.1504454090049537E-010   0.3913346631498510E-011
 -0.3749257649229703E+004   0.2122164044588799E+001   0.6990869466114779E-021   0.1648569988316752E-020   0.3143842885083583E-005   0.5488039612828963E-001   0.2725235350657944E-011   0.6798521183020663E-012   0.2088969795283578E-010   0.5385545338438724E-011
 -0.3635431239328973E+004   0.2150651524899596E+001   0.8773120611687943E-021   0.2258952926540390E-020   0.3087792626904162E-005   0.5546388208716792E-001   0.2994572360983698E-011   0.7386060934221038E-012   0.2414561413987210E-010   0.6192261295400080E-011
 -0.3491372742741283E+004   0.2184687368821443E+001   0.1186539474926684E-020   0.3257363774266101E-020   0.3015740328712715E-005   0.5623883526986578E-001   0.3411415557682932E-011   0.8287871728976573E-012   0.2892125611580231E-010   0.7359548238542344E-011
