                                                                                                                                                                                                                                                                
                        1                         2                         3                         4                         5                         6                         7                         8
                        E                         H                         W                       eta                         l                      n_pg                 Re(omega)                 Im(omega)
  0.9999999999999998E+000   0.4955106103392488E+002   0.8512449316109018E+001   0.7641133992619737E+000                        10                         3   0.9955004875330287E+001   0.1366450277457595E+000
                        1                         2                         3                         4                         5                         6                         7                         8                         9                        10
                  alpha_0                   alpha_1                     dE_dx                     dW_dx                       rho                         x                  Re(xi_h)                  Im(xi_h)                  Re(xi_r)                  Im(xi_r)
 -0.2897311981761889E+004   0.1810361936795587E+001   0.3362122649968615E-020   0.1220721193745518E-033   0.3691718121124179E-005   0.5000000000000000E-001  -0.7425606022093196E-011  -0.2158974409655796E-011   0.1554816821430725E-027  -0.1125424276081046E-027
 -0.2790862821337518E+004   0.1863037750897161E+001   0.3413528279211880E-020   0.2512533946725792E-021   0.3610584266253832E-005   0.5064392748802204E-001  -0.7403337672389673E-011  -0.2151236823665745E-011  -0.1043542411574261E-010  -0.3033093003482813E-011
 -0.2674058836812235E+004   0.1922936578999129E+001   0.3796962246588376E-020   0.1134441694151177E-020   0.3520357098579223E-005   0.5138981975388769E-001  -0.7567629742620191E-011  -0.2194397278317889E-011  -0.2242930384977884E-010  -0.6514467686429206E-011
 -0.2564187005622802E+004   0.1979767967537711E+001   0.4541144513930345E-020   0.2658738201198620E-020   0.3434083848112780E-005   0.5213279064987281E-001  -0.7927726156056928E-011  -0.2291295684351605E-011  -0.3456170261432784E-010  -0.1002644217265062E-010
 -0.2454090128959484E+004   0.2035434547529541E+001   0.5782386213286069E-020   0.5439536921540918E-020   0.3346320562130648E-005   0.5292176226980150E-001  -0.8519823428421288E-011  -0.2451244288202053E-011  -0.4798309963239344E-010  -0.1389603036618655E-010
 -0.2350708369462894E+004   0.2086084873277139E+001   0.7578617355825872E-020   0.1029207585911440E-019   0.3262018959530740E-005   0.5370746722794626E-001  -0.9325837740073590E-011  -0.2668204673565112E-011  -0.6221713523067807E-010  -0.1797861892131886E-010
 -0.2207051379987952E+004   0.2153059695492442E+001   0.1163802115777743E-019   0.2237798299283947E-019   0.3143842885083583E-005   0.5488039612828963E-001  -0.1093919136205635E-010  -0.3098778716871701E-011  -0.8581867103273962E-010  -0.2469384777552832E-010
 -0.2139995571148605E+004   0.2182552615292254E+001   0.1446860325478661E-019   0.3037947811047615E-019   0.3087792626904162E-005   0.5546388208716792E-001  -0.1194183906694988E-010  -0.3364737601513813E-011  -0.9883377845255755E-010  -0.2836822167353959E-010
 -0.2055129796557078E+004   0.2217957074429871E+001   0.1932722169951370E-019   0.4299113133487492E-019   0.3015740328712715E-005   0.5623883526986578E-001  -0.1348960844138627E-010  -0.3774107973274972E-011  -0.1177777700553756E-009  -0.3368241272688249E-010
