                                                                                                                                                                                                                                                                
                        1                         2
               freq_frame                freq_units
INERTIAL                  NONE                     
                        1                         2                         3                         4                         5                         6                         7                         8                         9                        10                        11                        12                        13                        14
                   E_norm                    L_star                    M_star             Omega_rot_ref                    R_star                  Re(freq)                  Im(freq)                         l                         m                       n_g                       n_p                      n_pg                 Re(omega)                 Im(omega)
  0.1142577619714853E+000   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.1090922058965022E+001   0.0000000000000000E+000                         1                         0                         0                         0                         1   0.1090922058965022E+001   0.0000000000000000E+000
  0.2811416113964594E-001   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.2464583601042199E+001   0.0000000000000000E+000                         1                         0                         0                         1                         2   0.2464583601042199E+001   0.0000000000000000E+000
  0.1510805089126175E-001   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.4217520036127828E+001   0.0000000000000000E+000                         1                         0                         0                         2                         3   0.4217520036127828E+001   0.0000000000000000E+000
  0.4917227403994077E-001   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.1560764345153689E+001   0.0000000000000000E+000                         2                         0                         0                         0                         0   0.1560764345153689E+001   0.0000000000000000E+000
  0.2135267356328645E-001   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.3016115610493347E+001   0.0000000000000000E+000                         2                         0                         0                         1                         1   0.3016115610493347E+001   0.0000000000000000E+000
  0.1204425707881828E-001   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.4817778392966154E+001   0.0000000000000000E+000                         2                         0                         0                         2                         2   0.4817778392966154E+001   0.0000000000000000E+000
  0.1089654386288708E-001   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.6446135752305733E+001   0.0000000000000000E+000                         2                         0                         0                         3                         3   0.6446135752305733E+001   0.0000000000000000E+000
  0.3125649401585288E-001   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.1862688866232268E+001   0.0000000000000000E+000                         3                         0                         0                         0                         0   0.1862688866232268E+001   0.0000000000000000E+000
  0.1749557359552743E-001   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.3447527022916293E+001   0.0000000000000000E+000                         3                         0                         0                         1                         1   0.3447527022916293E+001   0.0000000000000000E+000
  0.1033370071941839E-001   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.5276008586135850E+001   0.0000000000000000E+000                         3                         0                         0                         2                         2   0.5276008586135850E+001   0.0000000000000000E+000
  0.1161251516792533E-001   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.6981783404313489E+001   0.0000000000000000E+000                         3                         0                         0                         3                         3   0.6981783404313489E+001   0.0000000000000000E+000
  0.2284069848539385E-001   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.2110672124946257E+001   0.0000000000000000E+000                         4                         0                         0                         0                         0   0.2110672124946257E+001   0.0000000000000000E+000
  0.1477625769139803E-001   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.3825173665309823E+001   0.0000000000000000E+000                         4                         0                         0                         1                         1   0.3825173665309823E+001   0.0000000000000000E+000
  0.9444945085590090E-002   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.5664320279289647E+001   0.0000000000000000E+000                         4                         0                         0                         2                         2   0.5664320279289647E+001   0.0000000000000000E+000
  0.1198276216446470E-001   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.7491853652116318E+001   0.0000000000000000E+000                         4                         0                         0                         3                         3   0.7491853652116318E+001   0.0000000000000000E+000
  0.1793119947537491E-001   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.2329799544502483E+001   0.0000000000000000E+000                         5                         0                         0                         0                         0   0.2329799544502483E+001   0.0000000000000000E+000
  0.1271298402779408E-001   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.4169137272175856E+001   0.0000000000000000E+000                         5                         0                         0                         1                         1   0.4169137272175856E+001   0.0000000000000000E+000
  0.9033057165173667E-002   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.6015634810576936E+001   0.0000000000000000E+000                         5                         0                         0                         2                         2   0.6015634810576936E+001   0.0000000000000000E+000
  0.1186119770409677E-001   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.7975002368178792E+001   0.0000000000000000E+000                         5                         0                         0                         3                         3   0.7975002368178792E+001   0.0000000000000000E+000
  0.1470862363637900E-001   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.2529743053551050E+001   0.0000000000000000E+000                         6                         0                         0                         0                         0   0.2529743053551050E+001   0.0000000000000000E+000
  0.1110158093483669E-001   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.4487946426640503E+001   0.0000000000000000E+000                         6                         0                         0                         1                         1   0.4487946426640503E+001   0.0000000000000000E+000
  0.8905137858204779E-002   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.6348040659156435E+001   0.0000000000000000E+000                         6                         0                         0                         2                         2   0.6348040659156435E+001   0.0000000000000000E+000
  0.1135702087555564E-001   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.8428140332076209E+001   0.0000000000000000E+000                         6                         0                         0                         3                         3   0.8428140332076209E+001   0.0000000000000000E+000
  0.1243053063280681E-001   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.2715394781263835E+001   0.0000000000000000E+000                         7                         0                         0                         0                         0   0.2715394781263835E+001   0.0000000000000000E+000
  0.9829296443821481E-002   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.4786114741365507E+001   0.0000000000000000E+000                         7                         0                         0                         1                         1   0.4786114741365507E+001   0.0000000000000000E+000
  0.8951665658075793E-002   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.6671716361903639E+001   0.0000000000000000E+000                         7                         0                         0                         2                         2   0.6671716361903639E+001   0.0000000000000000E+000
  0.1067028277341919E-001   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.8850048062437265E+001   0.0000000000000000E+000                         7                         0                         0                         3                         3   0.8850048062437265E+001   0.0000000000000000E+000
  0.1073610190678504E-001   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.2889671793712205E+001   0.0000000000000000E+000                         8                         0                         0                         0                         0   0.2889671793712205E+001   0.0000000000000000E+000
  0.8820728055092040E-002   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.5066539082431399E+001   0.0000000000000000E+000                         8                         0                         0                         1                         1   0.5066539082431399E+001   0.0000000000000000E+000
  0.9102017902086056E-002   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.6992286698810073E+001   0.0000000000000000E+000                         8                         0                         0                         2                         2   0.6992286698810073E+001   0.0000000000000000E+000
  0.9969300498607623E-002   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.9241823544116492E+001   0.0000000000000000E+000                         8                         0                         0                         3                         3   0.9241823544116492E+001   0.0000000000000000E+000
  0.9428223429772398E-002   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.3054515737288798E+001   0.0000000000000000E+000                         9                         0                         0                         0                         0   0.3054515737288798E+001   0.0000000000000000E+000
  0.8019299466026576E-002   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.5331420447554516E+001   0.0000000000000000E+000                         9                         0                         0                         1                         1   0.5331420447554516E+001   0.0000000000000000E+000
  0.9302780953080474E-002   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.7312631622047240E+001   0.0000000000000000E+000                         9                         0                         0                         2                         2   0.7312631622047240E+001   0.0000000000000000E+000
  0.9351019113217784E-002   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.9606423689386061E+001   0.0000000000000000E+000                         9                         0                         0                         3                         3   0.9606423689386061E+001   0.0000000000000000E+000
  0.8389767181200523E-002   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.3211322057461740E+001   0.0000000000000000E+000                        10                         0                         0                         0                         0   0.3211322057461740E+001   0.0000000000000000E+000
  0.7380370304067462E-002   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.5582634102330484E+001   0.0000000000000000E+000                        10                         0                         0                         1                         1   0.5582634102330484E+001   0.0000000000000000E+000
  0.9509044556596838E-002   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.7633924183629329E+001   0.0000000000000000E+000                        10                         0                         0                         2                         2   0.7633924183629329E+001   0.0000000000000000E+000
  0.8853136660949607E-002   0.3321998882471230E+039   0.3496502123213184E+035   0.0000000000000000E+000   0.5361131162838573E+014   0.9947907973581943E+001   0.0000000000000000E+000                        10                         0                         0                         3                         3   0.9947907973581943E+001   0.0000000000000000E+000
